bib,title,note_num,note,type
17516867,"The ""last best west"" Canada west : homes for millions.",1,From collection: Canada Pamphlets,w
17516867,"The ""last best west"" Canada west : homes for millions.",2,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.,a
17516867,"The ""last best west"" Canada west : homes for millions.",3,Title from publisher's website.,a
17516868,"Canada west : ""last best west' homes for millions.",1,From collection: Canada Pamphlets,w
17516868,"Canada west : ""last best west' homes for millions.",2,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.,a
17516868,"Canada west : ""last best west' homes for millions.",3,Title from publisher's website.,a
17516869,Engleski : sta vi treba da znate na poljskom imanju.,1,From collection: Canada Pamphlets,w
17516869,Engleski : sta vi treba da znate na poljskom imanju.,2,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.,a
17516869,Engleski : sta vi treba da znate na poljskom imanju.,3,Title from publisher's website.,a
17516870,Eastern Canada : Canada the new homeland [1928].,1,From collection: Canada Pamphlets,w
17516870,Eastern Canada : Canada the new homeland [1928].,2,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.,a
17516870,Eastern Canada : Canada the new homeland [1928].,3,Title from publisher's website.,a
17516871,Eastern Canada : Canada the new homeland [1924].,1,From collection: Canada Pamphlets,w
17516871,Eastern Canada : Canada the new homeland [1924].,2,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.,a
17516871,Eastern Canada : Canada the new homeland [1924].,3,Title from publisher's website.,a
17516872,Home life of women in western Canada.,1,From collection: Canada Pamphlets,w
17516872,Home life of women in western Canada.,2,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.,a
17516872,Home life of women in western Canada.,3,Title from publisher's website.,a
17516873,Helping settlers to start in Canada.,1,From collection: Canada Pamphlets,w
17516873,Helping settlers to start in Canada.,2,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.,a
17516873,Helping settlers to start in Canada.,3,Title from publisher's website.,a
17516874,Farming and ranching in the Canadian north-west.,1,From collection: Canada Pamphlets,w
17516874,Farming and ranching in the Canadian north-west.,2,Leftlet is imperfect and lacks map. Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.,ao
17516874,Farming and ranching in the Canadian north-west.,3,Title from publisher's website.,a
17516875,Herman Bahr's discharge certificate from the Orontes.,1,Title from publisher's website.,a
17516876,Letter and ticket for the Commodore Perry.,1,Title from publisher's website.,a
17516877,Surgeon's diary of John Hanchett on the ship Henry.,1,Includes a transcript of the diary.,w
17516877,Surgeon's diary of John Hanchett on the ship Henry.,2,Title from publisher's website.,a
17516878,"Passenger ticket for ship James Baines to Hobart, Tasmania.",1,Title from publisher's website.,a
17516879,"Photographs of migrants in Tasmania : includes a berthing ticket for the ship ""Taroona""and part of an identity card.",1,Title from publisher's website.,a
17516880,Letter from George Massingham describing the shipwreck of the Netherby.,1,Title from publisher's website.,a
17516881,Land grant to Thomas Preston.,1,Title from publisher's website.,a
17516882,Certificate of Canadian citizenship issued to Sjonke (Sjouke George) Zwaagstra.,1,Title from publisher's website.,a
17516883,Immigration identification card issued to Jean A. Johnson.,1,Title from publisher's website.,a
17516884,Canadian Red Cross Society certificate presented to A. K. Jensen for donating blood.,1,Title from publisher's website.,a
17516885,Immigration identification card issued to Patrick John Burke.,1,Title from publisher's website.,a
17516886,Baggage tag for Mrs J. S. Burris.,1,Title from publisher's website.,a
17516887,Certificate of Canadian citizenship issued to Sophie Martens.,1,Title from publisher's website.,a
17516888,Immigration identification cardissued to Lukas J. Boven.,1,Title from publisher's website.,a
17516889,Immigration identification card issued to Elfriede Fischer and children.,1,Title from publisher's website.,a
17516890,Canadian National Railway ticket.,1,Title from publisher's website.,a
17516891,Baggage stickers and railway tickets.,1,Title from publisher's website.,a
17516892,Immigration identification card issued to Ilga Bormanis.,1,Title from publisher's website.,a
17516893,S.S. Waterman passenger list.,1,Document includes lists of passenger names.,w
17516893,S.S. Waterman passenger list.,2,Title from publisher's website.,a
17516894,Canadian National Railway's ticket folder.,1,Title from publisher's website.,a
17516895,Dominion of Canada certificate of naturalization issued to Josef Kolembus.,1,Title from publisher's website.,a
17516896,Danish passport issued to Anders K. Jensen.,1,Title from publisher's website.,a
17516897,Passenger list from S.S. Maasdam.,1,Document includes lists of passenger names.,w
17516897,Passenger list from S.S. Maasdam.,2,Title from publisher's website.,a
17516898,Canadian passport issued to Josephine LeVangie.,1,Title from publisher's website.,a
17516899,Canadian National Railways pamphlet.,1,Title from publisher's website.,a
17516900,Passenger list from S.S. Zuiderkruis.,1,Document includes lists of passenger names.,w
17516900,Passenger list from S.S. Zuiderkruis.,2,Title from publisher's website.,a
17516901,Passenger list from M.S. Johan van Oldenbarnevelt.,1,Document includes lists of passenger names.,w
17516901,Passenger list from M.S. Johan van Oldenbarnevelt.,2,Title from publisher's website.,a
17516902,Dock to destination.,1,Title from publisher's website.,a
17516903,To Canada : Cunard Line.,1,Title from publisher's website.,a
17516904,Australia's mining industries.,1,Title from publisher's website.,a
17516905,Farming industries for small holders in Australia.,1,Title from publisher's website.,a
17516906,Australia's industrial progress.,1,Title from publisher's website.,a
17516907,Australia invites the British domestic girl.,1,Title from publisher's website.,a
17516908,"Treasure island British Empire exhibition, Wembley 1925.",1,Title from publisher's website.,a
17516909,Canada.,1,Title from publisher's website.,a
17516910,"Log of the Euterpe of Southampton. Volume 1, 1884-1887.",1,From collection: Euterpe/Star of India Log Book,o
17516910,"Log of the Euterpe of Southampton. Volume 1, 1884-1887.",2,Title from publisher's website.,a
17516911,"Log of the Euterpe. Volume 1 (cont.), 1884-1885.",1,From collection: Euterpe/Star of India Log Book,o
17516911,"Log of the Euterpe. Volume 1 (cont.), 1884-1885.",2,This log contains corresponding information to A0245.1.01.,o
17516911,"Log of the Euterpe. Volume 1 (cont.), 1884-1885.",3,Title from publisher's website.,a
17516912,"Log of the Euterpe. Volume 2, 1887-1888.",1,Author probably Captain H W Bowman or Captain Thomas Bowling.,w
17516912,"Log of the Euterpe. Volume 2, 1887-1888.",2,From collection: Euterpe/Star of India Log Book,o
17516912,"Log of the Euterpe. Volume 2, 1887-1888.",3,Title from publisher's website.,a
17516913,"Log of the Euterpe. Volume 3, 1888-1890.",1,From collection: Euterpe/Star of India Log Book,o
17516913,"Log of the Euterpe. Volume 3, 1888-1890.",2,Title from publisher's website.,a
