bib_id,title,note_num,note,type
1975084,Inventaire sommaire des manuscrits et imprimés chinois de la Bibliothèque vaticane (13 juin-6 juillet 1922) [microform] / par Paul Pelliot.,1,Typescript.,o
1975084,Inventaire sommaire des manuscrits et imprimés chinois de la Bibliothèque vaticane (13 juin-6 juillet 1922) [microform] / par Paul Pelliot.,2,"Microfilm of original in Biblioteca apostolica vaticana, Sala cons. mss. 210.",o
2334838,"Economic impact of ski recreation and second homes : a reconnaissance study of Stowe, Vermont / by Lloyd C. Irland and Richard C. Gannon ; with Margaret Coon...[et al.]. 1974.",1,Typescript (xerox copy).,o
2334838,"Economic impact of ski recreation and second homes : a reconnaissance study of Stowe, Vermont / by Lloyd C. Irland and Richard C. Gannon ; with Margaret Coon...[et al.]. 1974.",2,"Final report of a cooperative aid study by the Yale School of Forestry and Environmental Studies and the Northeastern Forest Experiment Station, USDA Forest Service, under Contract no. 23-00, 440, Supplement 15.",w
2781465,Table manuscrite du Journal de Trévoux : laquelle s'etend depuis l'année 1701 jusqu'à l'année 1762 / par Mr. Godescard.,1,"Spine title: Memoires de Trévoux: [Table], 1701-1762.",a
2824586,"Calendar of the Montreal Gazette, 1778-1841 [microform] / compiled by A.R.M. Lower.",1,Typescript.,o
2824586,"Calendar of the Montreal Gazette, 1778-1841 [microform] / compiled by A.R.M. Lower.",2,Original in Public Archives of Canada.,o
2872298,Wästgotha lagben.,1,Cover title: Vastgótálaghbok.,a
2872298,Wästgotha lagben.,2,"Photographic copy of MS. B 59 in Kungliga biblioteket, Stockholm.",o
2898314,"David Bushnell Exhibiton, May-June 1975, Sterling Memorial Library [by Andrew Patterson, Jr.]",1,Typescript.,o
2898314,"David Bushnell Exhibiton, May-June 1975, Sterling Memorial Library [by Andrew Patterson, Jr.]",2,"Contains copies of legends used in the display cases, record cards of items exhibited, and a list of these items, and a bibliography.",w
2913820,Beiträge zur lateinischen Paläographie. Von W. Wattenbach.,1,Manuscript.,o
2913820,Beiträge zur lateinischen Paläographie. Von W. Wattenbach.,2,"Tables, notes, part manuscript, inserted.",o
2919886,The dialects of ancient Gaul. [Microform],1,"Abstracted in Microfilm abstracts, v. 10 (1950) no. 1, p. 141-142, no. 2, p. 175-176, no. 3, p. 265-266; v. 11 (1951) no. 1, p. 207-208, no. 3, p. 297-298.",w
3099168,"Overland journey from St. Joseph to California : and life in the mines / by Alonzo Delano, 1849-1851.",1,"Accompanied by 16 clippings from newspapers, New Orleans True Delta, Ottawa Free Trader, Constitutionalist, and San Francisco Pacific News, containing correspondence from Delano about California.",o
3100106,"A trip across the plains in 1858 / by Richard Thomas Ackley, 1848-[1865]",1,"Journal probably written in 1865, with annotations in a later hand.",o
3100231,"Overland journey : from Ohio to California and return by the Isthmus of Panama / by Hiram Alton, 1864-1865.",1,Original binding.,o
