bib_id,title,note_num,note,type
92262,"Sha'ir musuh Kelantan [microform] : sebuah naskah asli, diselenggarakan dengan pengenalan dan anotasi / oleh Kassim bin Ahmad.",1,Includes index.,w
235861,Československý jazyk : Doudlebské nářečí / Pelán Bedřich.,1,Holograph (photocopy) signed.,o
298637,"CIA research reports, Africa, 1946-1976 [microform].",1,"""A microfilm project of University Publications of America, Inc.""",w
650531,"Compendium musices : theoretico-practicum : das ist, kurtzer Begriff derer nöthingsten Compositions Regeln / abgefasset von Johann Adolph Scheibe ; Ao. 1736.",1,"Copyist's ms. (possibly that of C. Graupner), in ink.",o
650531,"Compendium musices : theoretico-practicum : das ist, kurtzer Begriff derer nöthingsten Compositions Regeln / abgefasset von Johann Adolph Scheibe ; Ao. 1736.",2,"A ms. with the same title is to be found in the Leipzig Städt Musikbibliothek. Cf. MGG, v. 11, col. 1618.",w
650533,"Compendium musices [microform]: theoretico-practicum : das ist, kurtzer Begriff derer nöthingsten Compositions Regeln / abgefasset von Johann Adolph Scheibe ; Ao. 1736.",1,"Copyist's ms. (possibly that of C. Graupner), in ink.",o
650533,"Compendium musices [microform]: theoretico-practicum : das ist, kurtzer Begriff derer nöthingsten Compositions Regeln / abgefasset von Johann Adolph Scheibe ; Ao. 1736.",2,"A ms. with the same title is to be found in the Leipzig Städt Musikbibliothek. Cf. MGG, v. 11, col. 1618.",w
651110,"[Letters] 1672-1679, [Venice, to Johann Friedrich, Herzog von Hannover] [microform] / Antonio Sartorio.",1,"Sixteen holographs, signed.",o
651110,"[Letters] 1672-1679, [Venice, to Johann Friedrich, Herzog von Hannover] [microform] / Antonio Sartorio.",2,In Italian.,w
651131,[Missal de Saint-Denis] [microform].,1,Ms.,o
651131,[Missal de Saint-Denis] [microform].,2,The music is in French neumes.,w
651131,[Missal de Saint-Denis] [microform].,3,"Detailed description in: Les sacramentaires et les missels manuscrits / V. Leroquais. Paris, 1924.",w
954387,John Hill Brinton's notes on cases : 1861.,1,"Manuscript is written in ink and pencil and bound in full cloth; it was purchased by Dr. Harvey Cushing in December, 1938 from Samuel Mayerman (Philadelphia book dealer).",o
954387,John Hill Brinton's notes on cases : 1861.,2,Includes fragmentary manuscript notes of about fifty casualities under Brinton's care in 1861; his sketches of wounds are included. Pages 1-56 are hand-numbered and preceded by a table of contents. Cushing manuscript #16.,w
