bib_id,title,note_num,note_text,note_type,record_total_notes,o_count,w_count,a_count,aw_count,ow_count,ao_count,unknown_count,source
17516910,"Log of the Euterpe of Southampton. Volume 1, 1884-1887.",1,From collection: Euterpe/Star of India Log Book,o,2,1,0,1,0,0,0,0,daniel
17516911,"Log of the Euterpe. Volume 1 (cont.), 1884-1885.",1,From collection: Euterpe/Star of India Log Book,o,3,2,0,1,0,0,0,0,daniel
17516911,"Log of the Euterpe. Volume 1 (cont.), 1884-1885.",2,This log contains corresponding information to A0245.1.01.,o,3,2,0,1,0,0,0,0,daniel
17516912,"Log of the Euterpe. Volume 2, 1887-1888.",2,From collection: Euterpe/Star of India Log Book,o,3,1,1,1,0,0,0,0,daniel
17516913,"Log of the Euterpe. Volume 3, 1888-1890.",1,From collection: Euterpe/Star of India Log Book,o,2,1,0,1,0,0,0,0,daniel
17516914,"Log of the Euterpe. Volume 4, 1890-1892.",1,From collection: Euterpe/Star of India Log Book,o,2,1,0,1,0,0,0,0,daniel
17516915,"Log of the Euterpe. Volume 5, 1891-1892.",1,From collection: Euterpe/Star of India Log Book,o,3,1,1,1,0,0,0,0,daniel
17516916,"Log of the Euterpe. Volume 6, 1892-1893.",2,From collection: Euterpe/Star of India Log Book,o,3,1,1,1,0,0,0,0,daniel
17516917,"Log of the Euterpe. Volume 8, 1895-1896.",1,From collection: Euterpe/Star of India Log Book,o,2,1,0,1,0,0,0,0,daniel
17516918,"Log of the Euterpe. Volume 9, 1896-1897.",1,From collection: Euterpe/Star of India Log Book,o,2,1,0,1,0,0,0,0,daniel
17516919,"Log of the Euterpe. Volume 10, 1897-1900.",1,From collection: Euterpe/Star of India Log Book,o,2,1,0,1,0,0,0,0,daniel
17516920,"Log of the Euterpe. Volume 11, 1898-1899.",1,From collection: Euterpe/Star of India Log Book,o,3,1,1,1,0,0,0,0,daniel
17516921,"Log of the Euterpe. Volume 12, 1899-1900.",1,From collection: Euterpe/Star of India Log Book,o,3,1,1,1,0,0,0,0,daniel
17516922,"Log of the Euterpe. Volume 13, 1900-1903.",1,From collection: Euterpe/Star of India Log Book,o,2,1,0,1,0,0,0,0,daniel
17516923,"Log of the Euterpe. Volume 14, 1902-1904.",1,From collection: Euterpe/Star of India Log Book,o,3,1,0,1,0,1,0,0,daniel
17516924,"Log of the Euterpe. Volume 15, 1906-1907.",1,From collection: Euterpe/Star of India Log Book,o,2,1,0,1,0,0,0,0,daniel
