bib_id,title,note_num,note_text,note_type,record_total_notes,w_count,o_count,a_count,aw_count,ow_count,ao_count,unknown_count,source
17516867,"The ""last best west"" Canada west : homes for millions.",1,From collection: Canada Pamphlets,w,3,1,0,2,0,0,0,0,daniel
17516868,"Canada west : ""last best west' homes for millions.",1,From collection: Canada Pamphlets,w,3,1,0,2,0,0,0,0,daniel
17516869,Engleski : sta vi treba da znate na poljskom imanju.,1,From collection: Canada Pamphlets,w,3,1,0,2,0,0,0,0,daniel
17516870,Eastern Canada : Canada the new homeland [1928].,1,From collection: Canada Pamphlets,w,3,1,0,2,0,0,0,0,daniel
17516871,Eastern Canada : Canada the new homeland [1924].,1,From collection: Canada Pamphlets,w,3,1,0,2,0,0,0,0,daniel
17516872,Home life of women in western Canada.,1,From collection: Canada Pamphlets,w,3,1,0,2,0,0,0,0,daniel
17516873,Helping settlers to start in Canada.,1,From collection: Canada Pamphlets,w,3,1,0,2,0,0,0,0,daniel
17516874,Farming and ranching in the Canadian north-west.,1,From collection: Canada Pamphlets,w,3,1,0,1,0,0,1,0,daniel
17516877,Surgeon's diary of John Hanchett on the ship Henry.,1,Includes a transcript of the diary.,w,2,1,0,1,0,0,0,0,daniel
17516893,S.S. Waterman passenger list.,1,Document includes lists of passenger names.,w,2,1,0,1,0,0,0,0,daniel
17516897,Passenger list from S.S. Maasdam.,1,Document includes lists of passenger names.,w,2,1,0,1,0,0,0,0,daniel
17516900,Passenger list from S.S. Zuiderkruis.,1,Document includes lists of passenger names.,w,2,1,0,1,0,0,0,0,daniel
17516901,Passenger list from M.S. Johan van Oldenbarnevelt.,1,Document includes lists of passenger names.,w,2,1,0,1,0,0,0,0,daniel
17516912,"Log of the Euterpe. Volume 2, 1887-1888.",1,Author probably Captain H W Bowman or Captain Thomas Bowling.,w,3,1,1,1,0,0,0,0,daniel
17516915,"Log of the Euterpe. Volume 5, 1891-1892.",2,This log is a continuation of A0245.1.05.,w,3,1,1,1,0,0,0,0,daniel
17516916,"Log of the Euterpe. Volume 6, 1892-1893.",1,Author probably Captain Roland Streeter.,w,3,1,1,1,0,0,0,0,daniel
17516920,"Log of the Euterpe. Volume 11, 1898-1899.",2,This log is a continuation of A0245.1.10.,w,3,1,1,1,0,0,0,0,daniel
17516921,"Log of the Euterpe. Volume 12, 1899-1900.",2,This log is a continuation of A0245.1.11.,w,3,1,1,1,0,0,0,0,daniel
17516929,New tales of Euterpe : Star of India as a British emigrant ship.,1,A special issue of Mains'l Haul. A Journal of Pacific Maritime History.,w,2,1,0,1,0,0,0,0,daniel
17516932,Certificate of incorporation : congregation of the people of Grodna.,1,Certificate of Incorporation: Chebra Rabeno Nochum Anshei Grodna.,w,3,2,0,1,0,0,0,0,daniel
17516932,Certificate of incorporation : congregation of the people of Grodna.,2,Source - Robert Schuman.,w,3,2,0,1,0,0,0,0,daniel
17516964,Sign bearing shoe shop notice.,1,Source - Sam Goldstein.,w,2,1,0,1,0,0,0,0,daniel
17516965,Children's shoes advertising sign.,2,Source - Sam Goldstein.,w,3,1,1,1,0,0,0,0,daniel
17516966,"""Closed to-day, will re-open to-morrow"" sign.",1,Source - Sam Goldstein.,w,2,1,0,1,0,0,0,0,daniel
17516967,"""Hard to fit"" shoe store sign.",1,Source - Sam Goldstein.,w,2,1,0,1,0,0,0,0,daniel
