bib,title,note_num,note_text,note_type,record_total_notes,record_typed_notes,a_count,w_count,o_count,ow_count,source
14526311,880-03 Kashf al-lithām ʻan asʼilat al-anām : manuscript / Ḥusayn ibn Muḥammad al-Maḥallī.,1,Title from folio 1b.,a,15,8,2,3,2,1,martin
14526311,880-03 Kashf al-lithām ʻan asʼilat al-anām : manuscript / Ḥusayn ibn Muḥammad al-Maḥallī.,2,Romanization supplied by cataloger.,a,15,8,2,3,2,1,martin
14527714,"J. L. Manning letter, Prophetstown, Illinois, to H. Keeling, Amboy, Illinois, 1865 June 13 : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
14544620,California merchant ledger : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
14567124,Parish reports : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
14607419,Santa Fe Pacific Railroad Company audit book : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
14610015,"“Joe” letter, Dawson City, Yukon, to “Dear Mother sister and kids”, 1898 March 12 : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
14615972,Paul Van Thorniley diary : typescript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
14625001,"James Judd letter, Farmington, Utah, to Henry W. Nichols, Vandergrift, Pennsylvania, 1912 February 16 : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
14625010,Catalogue of the prints of Jacques Callot : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
14741047,Scrapbook concerning Glacier National Park and Yellowstone National Park : manuscript.,2,Title devised by cataloger.,a,2,1,1,0,0,0,martin
14741083,Peter Jones declaration of faith : manuscript.,2,Title devised by cataloger.,a,2,1,1,0,0,0,martin
14785374,Fragment containing medical recipes.,1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
14796570,Carbon Hill Coal Company ledger : manuscript.,2,Title devised by cataloger.,a,3,1,1,0,0,0,martin
14798892,Des Moines city planning notebook : manuscript.,2,Title devised by cataloger.,a,2,1,1,0,0,0,martin
14974452,James L. Bowers declaration concerning slavery in Maryland : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
