bib,title,note_num,note_text,note_type,record_total_notes,record_typed_notes,o_count,w_count,a_count,aw_count,ow_count,source
14526311,880-03 Kashf al-lithām ʻan asʼilat al-anām : manuscript / Ḥusayn ibn Muḥammad al-Maḥallī.,5,15.5 x 21.5 cm; written surface: 9.5 x 16.2 cm; 23 lines per page.,o,15,8,2,3,2,0,1,martin
14526311,880-03 Kashf al-lithām ʻan asʼilat al-anām : manuscript / Ḥusayn ibn Muḥammad al-Maḥallī.,6,"Binding: Unbound (in 37 quires, mostly unnumbered).",o,15,8,2,3,2,0,1,martin
14526480,880-02 Taʻlīm al-mutaʻallim ṭarīq al-taʻallum : manuscript / Burhān al-Dīn al-Zarnūjī.,8,Binding: In cardboard binding.,o,17,16,1,11,0,1,1,martin
13195070,880-02 Rashf al-zulāl min al-siḥr al-ḥalāl : manuscript / Jalāl al-Dīn al-Suyūṭī.,4,Secundo folio: fa-lammā faragha min ʻiẓatihi.,o,10,7,4,1,2,0,0,zoe
13195070,880-02 Rashf al-zulāl min al-siḥr al-ḥalāl : manuscript / Jalāl al-Dīn al-Suyūṭī.,5,16 x 22.5 cm; written surface: 10 x 15 cm; 19 lines per page.,o,10,7,4,1,2,0,0,zoe
13195070,880-02 Rashf al-zulāl min al-siḥr al-ḥalāl : manuscript / Jalāl al-Dīn al-Suyūṭī.,6,Binding: In red cardboard binding.,o,10,7,4,1,2,0,0,zoe
13195070,880-02 Rashf al-zulāl min al-siḥr al-ḥalāl : manuscript / Jalāl al-Dīn al-Suyūṭī.,7,"In clear naskh script, in black ink, on white paper; catchwords.",o,10,7,4,1,2,0,0,zoe
13195220,Biographies of Muslim leaders : manuscript.,26,14.5 x 20.5 cm; written surface: varies; lines per page vary.,o,54,4,3,0,1,0,0,zoe
13195220,Biographies of Muslim leaders : manuscript.,27,Binding: In yellowish brown leather binding with flap; central medallions on front and back covers and flap.,o,54,4,3,0,1,0,0,zoe
13195220,Biographies of Muslim leaders : manuscript.,28,"In good naskh script, in black ink, on white paper; headings and markings in red; some notes and corrections on the margins; some texts fully vocalized; catchwords.",o,54,4,3,0,1,0,0,zoe
13195313,880-02 al-Fatʹḥ al-mubīn bi-sharḥ al-Arbaʻīn : manuscript / Shihāb al-Dīn Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,4,Secundo folio: taʼassiyan bi-al-Kitāb al-majīd.,o,14,7,4,1,2,0,0,zoe
13195313,880-02 al-Fatʹḥ al-mubīn bi-sharḥ al-Arbaʻīn : manuscript / Shihāb al-Dīn Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,5,16 x 21.5 cm; written surface: 10 x 16 cm; 27 lines per page.,o,14,7,4,1,2,0,0,zoe
13195313,880-02 al-Fatʹḥ al-mubīn bi-sharḥ al-Arbaʻīn : manuscript / Shihāb al-Dīn Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,6,Binding: In marbled cardboard and red leather with flap; codex in marbled cardboard and red leather case with a cloth ribbon to pull it out.,o,14,7,4,1,2,0,0,zoe
13195313,880-02 al-Fatʹḥ al-mubīn bi-sharḥ al-Arbaʻīn : manuscript / Shihāb al-Dīn Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,7,"In good naskh/ruqʻah script, in black ink, on white paper; with headings and markings in red; some corrections on the margins; catchwords.",o,14,7,4,1,2,0,0,zoe
13195320,880-02 al-Īḍāḥ fī al-nikāḥ wa-al-bāh : manuscript / Jalāl al-Dīn al-Suyūṭī.,4,Secundo folio: al-makhāṣī ʻalá al-shfār.,o,14,7,4,1,2,0,0,zoe
13195320,880-02 al-Īḍāḥ fī al-nikāḥ wa-al-bāh : manuscript / Jalāl al-Dīn al-Suyūṭī.,5,16 x 22 cm; written surface: 10.5 x 16 cm; 15 lines per page.,o,14,7,4,1,2,0,0,zoe
13195320,880-02 al-Īḍāḥ fī al-nikāḥ wa-al-bāh : manuscript / Jalāl al-Dīn al-Suyūṭī.,6,Binding: In marbled cardboard with flap.,o,14,7,4,1,2,0,0,zoe
13195320,880-02 al-Īḍāḥ fī al-nikāḥ wa-al-bāh : manuscript / Jalāl al-Dīn al-Suyūṭī.,7,"In fair naskh script, in black ink, on white paper; with headings and markings in red; catchwords.",o,14,7,4,1,2,0,0,zoe
13195481,880-02 ʻAlam al-malāḥah fī ʻilm al-filāḥah : manuscript / ʻAbd al-Ghanī al-Nābulusī.,4,Secundo folio: ḥadhfuhu wa-al-muʼākhadhah wa-al-takrār.,o,14,7,4,1,2,0,0,zoe
13195481,880-02 ʻAlam al-malāḥah fī ʻilm al-filāḥah : manuscript / ʻAbd al-Ghanī al-Nābulusī.,5,14.5 x 20.5 cm; written surface: 9.5 x 15 cm; 19 lines per page.,o,14,7,4,1,2,0,0,zoe
13195481,880-02 ʻAlam al-malāḥah fī ʻilm al-filāḥah : manuscript / ʻAbd al-Ghanī al-Nābulusī.,6,Binding: In marbled cardboard with flap; codex in a case of marbled cardboard and red leather with a cloth ribbon to pull it out.,o,14,7,4,1,2,0,0,zoe
13195481,880-02 ʻAlam al-malāḥah fī ʻilm al-filāḥah : manuscript / ʻAbd al-Ghanī al-Nābulusī.,7,"In beautiful medium naskh script, in black ink, on white paper; headings and markings in red; catchwords.",o,14,7,4,1,2,0,0,zoe
13195482,880-02 Taqyīdāt ʻalá Sharḥ al-ʻAllāmah al-Saʻd ʻalá matn al-ʻAqāʼid al-Nasafīyah : manuscript / Muḥammad ibn Aḥmad ibn ʻArafah al-Dasūqī al-Mālikī.,4,Secundo folio: in ikhtalafa al-muḍāf wa-al-muḍāf ilayh.,o,10,7,4,1,2,0,0,zoe
13195482,880-02 Taqyīdāt ʻalá Sharḥ al-ʻAllāmah al-Saʻd ʻalá matn al-ʻAqāʼid al-Nasafīyah : manuscript / Muḥammad ibn Aḥmad ibn ʻArafah al-Dasūqī al-Mālikī.,5,17.5 x 24.5 cm; written surface: 12.5 x 18.5 cm; 26 lines per page.,o,10,7,4,1,2,0,0,zoe
13195482,880-02 Taqyīdāt ʻalá Sharḥ al-ʻAllāmah al-Saʻd ʻalá matn al-ʻAqāʼid al-Nasafīyah : manuscript / Muḥammad ibn Aḥmad ibn ʻArafah al-Dasūqī al-Mālikī.,6,Binding: Unbound (5 quires).,o,10,7,4,1,2,0,0,zoe
13195482,880-02 Taqyīdāt ʻalá Sharḥ al-ʻAllāmah al-Saʻd ʻalá matn al-ʻAqāʼid al-Nasafīyah : manuscript / Muḥammad ibn Aḥmad ibn ʻArafah al-Dasūqī al-Mālikī.,7,"In good naskh script, in black ink, on white paper; some corrections on the margins; the phrases of 'Sharḥ al-ʻAllāmah al-Saʻd ʻalá matn al-ʻAqāʼid al-Nasafīyah' are preceded by the word 'Qawluhu' (His statement) in red; catchwords.",o,10,7,4,1,2,0,0,zoe
13195483,880-02 Mukhtaṣar Qawāʻid al-Zarkashī : manuscript / ʻAbd al-Wahhāb ibn Aḥmad al-Shaʻrānī.,4,Secundo folio: tanqīḥ al-adhhān al-rābiʻ al-mughālaṭāt.,o,13,7,4,1,2,0,0,zoe
13195483,880-02 Mukhtaṣar Qawāʻid al-Zarkashī : manuscript / ʻAbd al-Wahhāb ibn Aḥmad al-Shaʻrānī.,5,15 x 20.5 cm; written surface: 11.5 x 15.5 cm; 15 lines per page.,o,13,7,4,1,2,0,0,zoe
13195483,880-02 Mukhtaṣar Qawāʻid al-Zarkashī : manuscript / ʻAbd al-Wahhāb ibn Aḥmad al-Shaʻrānī.,6,Binding: Unbound.,o,13,7,4,1,2,0,0,zoe
13195483,880-02 Mukhtaṣar Qawāʻid al-Zarkashī : manuscript / ʻAbd al-Wahhāb ibn Aḥmad al-Shaʻrānī.,7,"In fair ruqʻah script, in black ink, on white paper; some wormholes on the margins without loss of text; catchwords.",o,13,7,4,1,2,0,0,zoe
13195484,880-03 al-Maqāmāt al-Ḥarīrīyah : manuscript / al-Qāsim ibn ʻAlī al-Ḥarīrī.,4,Secundo folio: wa-lā nurhaqa bi-tabaʻatin wa-lā maʻtabah.,o,11,7,4,1,2,0,0,zoe
13195484,880-03 al-Maqāmāt al-Ḥarīrīyah : manuscript / al-Qāsim ibn ʻAlī al-Ḥarīrī.,5,21 x 32 cm; written surface: 16.5 x 26.5 cm; 15 lines per page.,o,11,7,4,1,2,0,0,zoe
13195484,880-03 al-Maqāmāt al-Ḥarīrīyah : manuscript / al-Qāsim ibn ʻAlī al-Ḥarīrī.,6,Binding: In red leather binding with flap; central and corner medallions on cover and flap (in 16 numbered quires).,o,11,7,4,1,2,0,0,zoe
13195484,880-03 al-Maqāmāt al-Ḥarīrīyah : manuscript / al-Qāsim ibn ʻAlī al-Ḥarīrī.,7,"In good naskh script, in black ink, on white paper; extensive commentaries and notes on the margins and interlinear; some wormholes; catchwords.",o,11,7,4,1,2,0,0,zoe
13195485,880-02 Ḥāshiyat al-Amīr al-Kabīr ʻalá Sharḥ al-Samarqandīyah lil-Mullawī : manuscript / Muḥammad ibn Muḥammad al-Amīr al-Kabīr.,4,Secundo folio: li-tashbīhihā bi-irtibāṭ al-ilṣāq.,o,12,7,4,1,2,0,0,zoe
13195485,880-02 Ḥāshiyat al-Amīr al-Kabīr ʻalá Sharḥ al-Samarqandīyah lil-Mullawī : manuscript / Muḥammad ibn Muḥammad al-Amīr al-Kabīr.,5,16.5 x 22.5 cm; written surface: 10 x 18.5 cm; 24 lines per page.,o,12,7,4,1,2,0,0,zoe
