bib_id,title,note_num,note_text,note_type,record_total_notes,record_typed_notes,w_count,o_count,a_count,aw_count,ow_count,source
14526311,880-03 Kashf al-lithām ʻan asʼilat al-anām : manuscript / Ḥusayn ibn Muḥammad al-Maḥallī.,3,"Incipit: ""Bismillāh al-Raḥmān al-Raḥīm, wa-bi-hi thiqatī. Ḥamdan li-man faqqaha fī al-dīn man irtaḍāhu min ʻibādih, fa-salakū minhāj al-rashād ʻalá wafq murādih, wa-ṣalātan wa-salāman ʻalá Sayyid al-Mursalīn, al-qāʼil 'Man yarid Allāh bi-hi khayran yufaqqihhu fī al-dīn', wa-ʻalá ālihi wa-aṣḥābihi wa-al-tābiʻīn wa-tābiʻīhim bi-iḥsān ilá Yawm al-Dīn. Wa-baʻd, fa-yaqūlu rājī ʻafwa Rabbihi wa-iḥsānah, wa-muʼammil min Allāh faḍla jūdihi wa-imtinānah, Ḥusayn ibn Muḥammad al-Maḥallī al-Shāfiʻī: Lammā kathura al-suʼāl ʻan waqāʼiʻ al-aḥwāl, wa-zāda al-ishtighāl fī al-ḥall wa-al-irtiḥāl, wa-qalla man yujību al-sāʼil bi-al-manqūl, wa-iʻtamad al-muftīyūn [al-muftūn] ʻalá jawāhir al-ʻuqūl, wa-rubbamā ajābū fī al-wāqiʻāt bi-ghayr mā qarrarahu al-aʼimmah min al-manqūlāt, aradtu an ajmaʻa mā yartāḥu bi-hi al-labīb wa-yakshufu al-karb ʻan kull muhimm gharīb ...""",w,15,8,3,2,2,0,1,martin
14526311,880-03 Kashf al-lithām ʻan asʼilat al-anām : manuscript / Ḥusayn ibn Muḥammad al-Maḥallī.,4,Secundo folio: al-sukhūnah wa-al-burūdah wa-māʼ diyār Thamūd.,w,15,8,3,2,2,0,1,martin
14526311,880-03 Kashf al-lithām ʻan asʼilat al-anām : manuscript / Ḥusayn ibn Muḥammad al-Maḥallī.,8,"At the head of folio 1a: An endowment statement: ""Awqafa hādhā al-kitāb Aḥmad Muḥammad al-Najjārī.""",w,15,8,3,2,2,0,1,martin
14526480,880-02 Taʻlīm al-mutaʻallim ṭarīq al-taʻallum : manuscript / Burhān al-Dīn al-Zarnūjī.,3,"Incipit of the excerpt from ""Majālis al-abrār wa-masālik al-akhyār"": ""Aʻūdhu billāh min al-Shayṭān al-rajīm. Bismillāh al-Raḥmān al-Raḥīm. al-Majlis al-ḥādī wa-al-thalāthūn: Fī bayān ṣadaqat al-fiṭr wa-aḥkām al-ʻīdayn wa-bayān al-bidaʻ fīhi [fīhimā]. Faraḍ Rasūl Allāh, ṣallá Allāh taʻālá ʻalayhi wa-sallam, zakāt al-Fiṭr ṭuhratan lil-ṣiyām min al-lahw wa-al-laghw wa-al-rifth wa-ṭuʻmatan lil-masākīn. Wa-hādhā al-Ḥadīth min ḥisān al-Maṣābīḥ, rawāhu Ibn ʻAbbās, wa-huwa yadullu ʻalá wujūb ṣadaqat al-Fiṭr, li-anna al-farḍ fī al-lughah bi-maʻná al-taqdīr, wa-fī al-sharʻ bi-maʻná al-ījāb. Wa-lafẓ al-Shāriʻ dāra bayna al-maʻná al-sharʻī wa-maʻná [wa-al-maʻná] al-lughawī, yataʻayyanu ḥamluhu ʻalá al-maʻná al-sharʻī mā amkana, li-anna al-ghālib min ḥāl al-Nabī, ʻalayhi al-salām, taʻrīf al-aḥkām dūn al-lughāt, fa-ʻalá hādhā yakūnu al-maʻná anna wujūb ṣadaqat al-Fiṭr ʻalá al-insān li-fāʼidatan ...""",w,17,16,11,1,0,1,1,martin
14526480,880-02 Taʻlīm al-mutaʻallim ṭarīq al-taʻallum : manuscript / Burhān al-Dīn al-Zarnūjī.,4,"Secundo folio of the excerpt from ""Majālis al-abrār wa-masālik al-akhyār"": bi-al-mubāsharah wa-baʻḍuhum bi-al-mushāhadah.",w,17,16,11,1,0,1,1,martin
14526480,880-02 Taʻlīm al-mutaʻallim ṭarīq al-taʻallum : manuscript / Burhān al-Dīn al-Zarnūjī.,5,"Incipit of ""Taʻlīm al-mutaʻallim ṭarīq al-taʻallum"": ""Bismillāh al-Raḥmān al-Raḥīm. al-Ḥamdu lillāh alladhī faḍḍala banī Ādam bi-al-ʻilm wa-al-ʻamal ʻalá jamīʻ al-ʻālam, wa-al-ṣalāh ʻalá Muḥammad Sayyid al-ʻArab wa-al-ʻAjam, wa-ʻalá ālihi wa-aṣḥābih yanābīʻ al-ʻulūm wa-al-ḥikam. Wa-baʻd, fa-lammā raʼaytu kathīran min ṭullāb al-ʻilm fī zamāninā yajiddūna ilá al-ʻilm wa-lā yaṣilūn, wa-min manāfiʻihi wa-thamarātihi, wa-hiya al-ʻamal bi-hi wa-al-nashr yuḥramūn, limā annahum akhṭaʼū ṭarāʼiqahu wa-tarakū sharāʼiṭ [sharāʼiṭahu] <annī>, wa-kull man akhṭaʼa al-ṭarīq ḍalla, wa-lā yanālu al-maqṣūd qalla aw jalla, aradtu wa-aḥbabtu an ubayyina lahum ṭarīq al-taʻallum ʻalá mā raʼaytu fī al-Kitāb wa-samiʻtu min asātīdhī ulī al-ʻilm wa-al-ḥikam rajāʼ al-duʻāʼ lī min al-rāghibīn fīhi al-mukhliṣīn bi-al-fawz wa-al-khalāṣ fī Yawm al-Dīn mā istakhartu lillāh taʻālá fīhi, wa-sammaytuhu 'Taʻlīm al-mutaʻallim ṭarīq al-taʻallum', wa-jaʻaltuhu fuṣūlan ...""",w,17,16,11,1,0,1,1,martin
14526480,880-02 Taʻlīm al-mutaʻallim ṭarīq al-taʻallum : manuscript / Burhān al-Dīn al-Zarnūjī.,6,"Secundo folio of ""Taʻlīm al-mutaʻallim ṭarīq al-taʻallum"": fī taʻẓīm al-ʻilm wa-ahlih.",w,17,16,11,1,0,1,1,martin
14526480,880-02 Taʻlīm al-mutaʻallim ṭarīq al-taʻallum : manuscript / Burhān al-Dīn al-Zarnūjī.,9,"""Taʻlīm al-mutaʻallim ṭarīq al-taʻallum"" is written in good naskh script, in black ink, on white paper; headings and markings in red; some notes on the margins; catchwords. The excerpt from ""Majālis al-abrār wa-masālik al-akhyār"" is written in fair naskh/ruqʻah script.",w,17,16,11,1,0,1,1,martin
14526480,880-02 Taʻlīm al-mutaʻallim ṭarīq al-taʻallum : manuscript / Burhān al-Dīn al-Zarnūjī.,10,"On folio 1a: ""Kitāb bi-hi Taʻallum al-mutaʻallim.""",w,17,16,11,1,0,1,1,martin
14526480,880-02 Taʻlīm al-mutaʻallim ṭarīq al-taʻallum : manuscript / Burhān al-Dīn al-Zarnūjī.,13,"Folios 3b-9a are blank; text of ""Taʻlī al-mutaʻallim ṭarīq al-taʻallum"" (folios 9b-30a).",w,17,16,11,1,0,1,1,martin
14526480,880-02 Taʻlīm al-mutaʻallim ṭarīq al-taʻallum : manuscript / Burhān al-Dīn al-Zarnūjī.,14,"On folio 9b: ""Munājāt [Munājāh]. Lā ilāha illā Allāh, Muḥammad Rasūl Allāh. Lā ilāha illā Allāh, Muḥammad Rasūl Allāh. Hādhā kitāb Taʻlīm mutaʻallim.""",w,17,16,11,1,0,1,1,martin
14526480,880-02 Taʻlīm al-mutaʻallim ṭarīq al-taʻallum : manuscript / Burhān al-Dīn al-Zarnūjī.,15,"Colophon of the excerpt from ""Majālis al-abrār wa-masālik al-akhyār"": No colophon. Text ends abruptly with: ""... Naʻam. Inna hādhihi al-ayyām ayām faraḥ wa-surūr, lākin yanbaghī an yakūna iẓhār al-faraḥ wa-al-surūr fīhā bi-mā kāna mubāḥan aw mustaḥabban, ka-al-ightisāl wa-al-taṭayyub wa-lays [wa-libs] aḥsan al-sayyiʼāt [al-thiyāb?] al-mubāḥah allatī takūn jadīdah aw ghasīlah ʻalá mā sayajīʼ, lā bi-mā kāna ḥarām [ḥarāman], ka-libs al-ḥarīr wa-al-khawḍ fī al-bāṭil, li-anna al-ʻīd innamā summiya ʻīdan li-annahu taʻālá yaʻūdu fīhi ʻalá al-muʼmin bi-al-maghfirah wa-al-iḥsān, fa-yajibu ʻalayhim an yajtanibū al-maʻṣiyah wa-al-ṭughyān ḥattá yakūnū min ahl al-saʻādah wa-al-ruḍwān, lā min ahl al-shaqāwah wa-al-khidhlān. Wa-qad ḥukiya ʻan baʻḍ al-ʻārifīn annahu [marra] yawm al-ʻīd bi-qawm yalʻabūn wa-yaḍḥakūn, fa-qāl: In kāna tuqubilla min hāʼulāʼ lazimahum an yashkurū wa-laysa hādhā fiʻl al-shākirīn, wa-in kāna lam tuqubilla [yutaqabbal] minhum lazimahum an yakhāfū wa-laysa hādhā fiʻl al-khāʼifīn. Thumma yanbaghī an yuʻlam anna baʻḍ al-nās qad zaʻamū anna ...""",w,17,16,11,1,0,1,1,martin
14526480,880-02 Taʻlīm al-mutaʻallim ṭarīq al-taʻallum : manuscript / Burhān al-Dīn al-Zarnūjī.,16,"Colophon of ""Taʻlīm al-mutaʻallim ṭarīq al-taʻallum"": ""Wa-al-ḥamdu lillāh awwalan wa-ākhiran. Wa-al-ḥamdu lillāh ʻalá al-tamām. Wa-al-ṣalāh ʻalá Sayyidinā Muḥammad khayr al-anām, wa-ʻalá ālihi wa-aṣḥābihi ajmaʻīn. 18 Dhī al-Ḥijjah, sanat 1191.""",w,17,16,11,1,0,1,1,martin
14526480,880-02 Taʻlīm al-mutaʻallim ṭarīq al-taʻallum : manuscript / Burhān al-Dīn al-Zarnūjī.,17,"Translation of the colophon of ""Taʻlīm al-mutaʻallim ṭarīq al-taʻallum"": ""Praise be to God at the beginning and at the end. Praise be to God for the completion. May prayer be upon our Master Muḥammad, the best of mankind, and upon his family and all his companions. 18 Dhū al-Ḥijjah, the year 1191 [of the Hijrah = 17 January, 1778].""",w,17,16,11,1,0,1,1,martin
13195070,880-02 Rashf al-zulāl min al-siḥr al-ḥalāl : manuscript / Jalāl al-Dīn al-Suyūṭī.,3,"Incipit: ""Bismillāh al-Raḥmān al-Raḥīm. Hādhā Rashf al-zulāl min al-siḥr al-ḥalāl fī aḥad wa-ʻishrīn ʻāliman lammā tazawwaja kull wāḥid minhum waṣafa laylatahu mūriyan bi-alfāẓ fannihi min maqāmāt al-Shaykh al-ʻālim al-ʻallāmah al-ḥāfiẓ al-Shaykh Jalāl al-Dīn al-Suyūṭī nafaʻanā Allāh bi-hi wa-al-Muslimīn. Āmīn.""",w,10,7,1,4,2,0,0,zoe
13195313,880-02 al-Fatʹḥ al-mubīn bi-sharḥ al-Arbaʻīn : manuscript / Shihāb al-Dīn Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,3,"Incipit: ""Bismillāh al-Raḥmān al-Raḥīm wa-huwa ḥasbī. al-Ḥamdu lillāh alladhī waffaqa ṭāʼifatan min ʻulamāʼ kull ʻaṣr lil-qiyām bi-aʻbāʼ al-Aḥādīth wa-al-sunan wa-mayyazahum ʻalá siwāhum bi-sulūkihim awḍaḥ al-maḥajjah wa-aqwam al-sunan ...""",w,14,7,1,4,2,0,0,zoe
13195320,880-02 al-Īḍāḥ fī al-nikāḥ wa-al-bāh : manuscript / Jalāl al-Dīn al-Suyūṭī.,3,"Incipit: ""Bismillāh al-Raḥmān al-Raḥīm. al-Ḥamdu lillāh Rabb al-ʻĀlamīn wa-ṣallá Allāh ʻalá Sayyidinā Muḥammad wa-ʻalá ālihi wa-ṣaḥbihi ajmaʻīn. Wa-baʻd, fa-hādhā kitāb al-waṣīyah al-mashhūr al-musammá fī ʻilm al-nayk wa-yusammá al-Īḍāḥ fī al-nikāḥ wa-al-bāh fī al-rujūʻ [rujūʻ] al-shaykh ilá al-ṣibāh [ṣibāh] lil-Shaykh al-ajall Jalāl al-Dīn al-Suyūṭī, raḥimahu Allāh taʻālá, wa-dhālika mashhūr lammā fasiqū ahl miṣr allafa lahum hādhā al-kitāb ḥattá rajiʻū ʻan al-liwāṭ bi-barakat al-Shaykh, raḥimahu Allāh taʻālá ...""",w,14,7,1,4,2,0,0,zoe
