path,format,num_count,note_num_count,status
README.md,,0,0,
fully_classified\by_format\CSV\all_classified.csv,CSV,0,1,CSV-header-note_num
fully_classified\by_format\CSV\daniel_classified.csv,CSV,0,1,CSV-header-note_num
fully_classified\by_format\CSV\martin_classified.csv,CSV,0,1,CSV-header-note_num
fully_classified\by_format\CSV\tim_classified.csv,CSV,0,1,CSV-header-note_num
fully_classified\by_format\CSV\will_classified.csv,CSV,0,1,CSV-header-note_num
fully_classified\by_format\CSV\zoe_classified.csv,CSV,0,1,CSV-header-note_num
fully_classified\by_format\JSON\all_classified.json,JSON,0,6956,JSON-keys-note_num
fully_classified\by_format\JSON\daniel_classified.json,JSON,0,1011,JSON-keys-note_num
fully_classified\by_format\JSON\martin_classified.json,JSON,0,598,JSON-keys-note_num
fully_classified\by_format\JSON\tim_classified.json,JSON,0,59,JSON-keys-note_num
fully_classified\by_format\JSON\will_classified.json,JSON,0,870,JSON-keys-note_num
fully_classified\by_format\JSON\zoe_classified.json,JSON,0,4418,JSON-keys-note_num
fully_classified\by_format\XML\daniel_classified.xml,XML,0,1011,XML-notes-have-note_num
fully_classified\by_format\XML\martin_classified.xml,XML,0,598,XML-notes-have-note_num
fully_classified\by_format\XML\tim_classified.xml,XML,0,59,XML-notes-have-note_num
fully_classified\by_format\XML\will_classified.xml,XML,0,870,XML-notes-have-note_num
fully_classified\by_format\XML\zoe_classified.xml,XML,0,4418,XML-notes-have-note_num
fully_classified\by_type\a.csv,CSV,0,1,CSV-header-note_num
fully_classified\by_type\ao.csv,CSV,0,1,CSV-header-note_num
fully_classified\by_type\aw.csv,CSV,0,1,CSV-header-note_num
fully_classified\by_type\o.csv,CSV,0,1,CSV-header-note_num
fully_classified\by_type\ow.csv,CSV,0,1,CSV-header-note_num
fully_classified\by_type\unknown.csv,CSV,0,1,CSV-header-note_num
fully_classified\by_type\w.csv,CSV,0,1,CSV-header-note_num
partially_classified\by_format\CSV\combined.csv,CSV,0,1,CSV-header-note_num
partially_classified\by_format\CSV\empties_only.csv,CSV,0,1,CSV-header-note_num
partially_classified\by_format\CSV\martin_only.csv,CSV,0,1,CSV-header-note_num
partially_classified\by_format\CSV\typed_only.csv,CSV,0,1,CSV-header-note_num
partially_classified\by_format\CSV\zoe_only.csv,CSV,0,1,CSV-header-note_num
partially_classified\by_format\JSON\combined.json,JSON,0,7291,JSON-keys-note_num
partially_classified\by_format\JSON\empties_only.json,JSON,0,3698,JSON-keys-note_num
partially_classified\by_format\JSON\martin_only.json,JSON,0,431,JSON-keys-note_num
partially_classified\by_format\JSON\typed_only.json,JSON,0,3593,JSON-keys-note_num
partially_classified\by_format\JSON\zoe_only.json,JSON,0,6860,JSON-keys-note_num
partially_classified\by_format\XML\combined.xml,XML,0,7291,XML-notes-have-note_num
partially_classified\by_format\XML\empties_only.xml,XML,0,3698,XML-notes-have-note_num
partially_classified\by_format\XML\martin_only.xml,XML,0,431,XML-notes-have-note_num
partially_classified\by_format\XML\typed_only.xml,XML,0,3593,XML-notes-have-note_num
partially_classified\by_format\XML\zoe_only.xml,XML,0,6860,XML-notes-have-note_num
partially_classified\by_type\a.csv,CSV,0,1,CSV-header-note_num
partially_classified\by_type\ao.csv,CSV,0,1,CSV-header-note_num
partially_classified\by_type\aw.csv,CSV,0,1,CSV-header-note_num
partially_classified\by_type\o.csv,CSV,0,1,CSV-header-note_num
partially_classified\by_type\ow.csv,CSV,0,1,CSV-header-note_num
partially_classified\by_type\unknown.csv,CSV,0,1,CSV-header-note_num
partially_classified\by_type\w.csv,CSV,0,1,CSV-header-note_num
reports\num_note_num_audit.csv,CSV,0,0,CSV-no-num-or-note_num
reports\reports_2025-11-14\README.md,,0,0,
reports\reports_2025-11-14\part_1\p1t1.1a_path_val_20251114_081540.md,,0,0,
reports\reports_2025-11-14\part_1\p1t1.1b_path_upd_20251114_082124.md,,0,0,
reports\reports_2025-11-14\part_1\p1t1.2_num_val_20251114_082354.md,,0,0,
reports\reports_2025-11-14\part_1\p1t1.3a_align_20251114_083725.md,,0,0,
reports\reports_2025-11-14\part_1\p1t1.3b_align_20251114_084224.md,,0,0,
reports\reports_2025-11-14\part_2\p2_stats_20251114_084732.md,,0,0,
reports\reports_2025-11-14\part_3\p3t3.1_type_presence_20251114_085004.md,,0,0,
reports\reports_2025-11-14\part_3\p3t3.2_empty_types_20251114_085047.md,,0,0,
reports\reports_2025-11-14\part_4\p4t4.1_split_20251114_085819.md,,0,0,
reports\reports_2025-11-14\part_4\p4t4.2_final_reorg_20251114_091800.md,,0,0,
reports\reports_2025-12-17\by_type_report_2025-12-17.md,,0,0,
reports\reports_2025-12-17\meta_validation_report_2025-12-17.md,,0,0,
