bib,title,note_num,note
17516867,"The ""last best west"" Canada west : homes for millions.",1,From collection: Canada Pamphlets
17516867,"The ""last best west"" Canada west : homes for millions.",2,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.
17516867,"The ""last best west"" Canada west : homes for millions.",3,Title from publisher's website.
17516868,"Canada west : ""last best west' homes for millions.",1,From collection: Canada Pamphlets
17516868,"Canada west : ""last best west' homes for millions.",2,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.
17516868,"Canada west : ""last best west' homes for millions.",3,Title from publisher's website.
17516869,Engleski : sta vi treba da znate na poljskom imanju.,1,From collection: Canada Pamphlets
17516869,Engleski : sta vi treba da znate na poljskom imanju.,2,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.
17516869,Engleski : sta vi treba da znate na poljskom imanju.,3,Title from publisher's website.
17516870,Eastern Canada : Canada the new homeland [1928].,1,From collection: Canada Pamphlets
17516870,Eastern Canada : Canada the new homeland [1928].,2,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.
17516870,Eastern Canada : Canada the new homeland [1928].,3,Title from publisher's website.
17516871,Eastern Canada : Canada the new homeland [1924].,1,From collection: Canada Pamphlets
17516871,Eastern Canada : Canada the new homeland [1924].,2,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.
17516871,Eastern Canada : Canada the new homeland [1924].,3,Title from publisher's website.
17516872,Home life of women in western Canada.,1,From collection: Canada Pamphlets
17516872,Home life of women in western Canada.,2,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.
17516872,Home life of women in western Canada.,3,Title from publisher's website.
17516873,Helping settlers to start in Canada.,1,From collection: Canada Pamphlets
17516873,Helping settlers to start in Canada.,2,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.
17516873,Helping settlers to start in Canada.,3,Title from publisher's website.
17516874,Farming and ranching in the Canadian north-west.,1,From collection: Canada Pamphlets
17516874,Farming and ranching in the Canadian north-west.,2,Leftlet is imperfect and lacks map. Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.
