bib,title,note_num,note
1975084,Inventaire sommaire des manuscrits et imprimés chinois de la Bibliothèque vaticane (13 juin-6 juillet 1922) [microform] / par Paul Pelliot.,1,Typescript.
1975084,Inventaire sommaire des manuscrits et imprimés chinois de la Bibliothèque vaticane (13 juin-6 juillet 1922) [microform] / par Paul Pelliot.,2,"Microfilm of original in Biblioteca apostolica vaticana, Sala cons. mss. 210."
2334838,"Economic impact of ski recreation and second homes : a reconnaissance study of Stowe, Vermont / by Lloyd C. Irland and Richard C. Gannon ; with Margaret Coon...[et al.]. 1974.",1,Typescript (xerox copy).
2334838,"Economic impact of ski recreation and second homes : a reconnaissance study of Stowe, Vermont / by Lloyd C. Irland and Richard C. Gannon ; with Margaret Coon...[et al.]. 1974.",2,"Final report of a cooperative aid study by the Yale School of Forestry and Environmental Studies and the Northeastern Forest Experiment Station, USDA Forest Service, under Contract no. 23-00, 440, Supplement 15."
2781465,Table manuscrite du Journal de Trévoux : laquelle s'etend depuis l'année 1701 jusqu'à l'année 1762 / par Mr. Godescard.,1,"Spine title: Memoires de Trévoux: [Table], 1701-1762."
2824586,"Calendar of the Montreal Gazette, 1778-1841 [microform] / compiled by A.R.M. Lower.",1,Typescript.
2824586,"Calendar of the Montreal Gazette, 1778-1841 [microform] / compiled by A.R.M. Lower.",2,Original in Public Archives of Canada.
2872298,Wästgotha lagben.,1,Cover title: Vastgótálaghbok.
2872298,Wästgotha lagben.,2,"Photographic copy of MS. B 59 in Kungliga biblioteket, Stockholm."
2898314,"David Bushnell Exhibiton, May-June 1975, Sterling Memorial Library [by Andrew Patterson, Jr.]",1,Typescript.
2898314,"David Bushnell Exhibiton, May-June 1975, Sterling Memorial Library [by Andrew Patterson, Jr.]",2,"Contains copies of legends used in the display cases, record cards of items exhibited, and a list of these items, and a bibliography."
2913820,Beiträge zur lateinischen Paläographie. Von W. Wattenbach.,1,Manuscript.
2913820,Beiträge zur lateinischen Paläographie. Von W. Wattenbach.,2,"Tables, notes, part manuscript, inserted."
2919886,The dialects of ancient Gaul. [Microform],1,"Abstracted in Microfilm abstracts, v. 10 (1950) no. 1, p. 141-142, no. 2, p. 175-176, no. 3, p. 265-266; v. 11 (1951) no. 1, p. 207-208, no. 3, p. 297-298."
3099168,"Overland journey from St. Joseph to California : and life in the mines / by Alonzo Delano, 1849-1851.",1,"Accompanied by 16 clippings from newspapers, New Orleans True Delta, Ottawa Free Trader, Constitutionalist, and San Francisco Pacific News, containing correspondence from Delano about California."
3100106,"A trip across the plains in 1858 / by Richard Thomas Ackley, 1848-[1865]",1,"Journal probably written in 1865, with annotations in a later hand."
3100231,"Overland journey : from Ohio to California and return by the Isthmus of Panama / by Hiram Alton, 1864-1865.",1,Original binding.
3100292,"Overland journey : from Indiana to California / by D. B. Andrews, 1852.",1,Original binding.
3100688,"Overland journey : from Burlington, Vermont to Sacramento, California / by Gurdon Backus, 1849-1851.",1,Original binding.
3100734,"Overland journey from Warren, Pennsylvania to California /by  Philip Badman, 1849-1857.",1,Original binding.
3100752,"A daily journal kept by N. J. and H. Bradley on an overland trip to California /by Nancy Jane and  Henry Bradley, 1852.",1,Original binding.
3100789,"Mary Burrell's book / by Mary Burrell, 1854.",1,"Mary Burrell's train traveled near the Isaac Foster party also from Plainfield and parts of her diary are quoted in Lucy Foster Sexton's The Foster Family, California Pioneers, Santa Barbara, 1925."
3100789,"Mary Burrell's book / by Mary Burrell, 1854.",2,Original binding.
3100799,"Journal on board ship Audely [sic] Clark /by Zechariah Chafee, 1849.",1,Original binding covered with heavy cotton cloth.
3100822,"Overland journey : from Missouri to California / by Bennett C. Clark, 1849.",1,Original binding.
3100881,"The California guide. With distances & notes of travel by Clark  & Co. in fifty two from Ohio to the Sacramento Valley /by John Clark, 1852-1856.",1,Original binding.
