bib,title,note_num,note
92262,"Sha'ir musuh Kelantan [microform] : sebuah naskah asli, diselenggarakan dengan pengenalan dan anotasi / oleh Kassim bin Ahmad.",1,Includes index.
235861,Československý jazyk : Doudlebské nářečí / Pelán Bedřich.,1,Holograph (photocopy) signed.
298637,"CIA research reports, Africa, 1946-1976 [microform].",1,"""A microfilm project of University Publications of America, Inc."""
650531,"Compendium musices : theoretico-practicum : das ist, kurtzer Begriff derer nöthingsten Compositions Regeln / abgefasset von Johann Adolph Scheibe ; Ao. 1736.",1,"Copyist's ms. (possibly that of C. Graupner), in ink."
650531,"Compendium musices : theoretico-practicum : das ist, kurtzer Begriff derer nöthingsten Compositions Regeln / abgefasset von Johann Adolph Scheibe ; Ao. 1736.",2,"A ms. with the same title is to be found in the Leipzig Städt Musikbibliothek. Cf. MGG, v. 11, col. 1618."
650533,"Compendium musices [microform]: theoretico-practicum : das ist, kurtzer Begriff derer nöthingsten Compositions Regeln / abgefasset von Johann Adolph Scheibe ; Ao. 1736.",1,"Copyist's ms. (possibly that of C. Graupner), in ink."
650533,"Compendium musices [microform]: theoretico-practicum : das ist, kurtzer Begriff derer nöthingsten Compositions Regeln / abgefasset von Johann Adolph Scheibe ; Ao. 1736.",2,"A ms. with the same title is to be found in the Leipzig Städt Musikbibliothek. Cf. MGG, v. 11, col. 1618."
651110,"[Letters] 1672-1679, [Venice, to Johann Friedrich, Herzog von Hannover] [microform] / Antonio Sartorio.",1,"Sixteen holographs, signed."
651110,"[Letters] 1672-1679, [Venice, to Johann Friedrich, Herzog von Hannover] [microform] / Antonio Sartorio.",2,In Italian.
651131,[Missal de Saint-Denis] [microform].,1,Ms.
651131,[Missal de Saint-Denis] [microform].,2,The music is in French neumes.
651131,[Missal de Saint-Denis] [microform].,3,"Detailed description in: Les sacramentaires et les missels manuscrits / V. Leroquais. Paris, 1924."
954387,John Hill Brinton's notes on cases : 1861.,1,"Manuscript is written in ink and pencil and bound in full cloth; it was purchased by Dr. Harvey Cushing in December, 1938 from Samuel Mayerman (Philadelphia book dealer)."
954387,John Hill Brinton's notes on cases : 1861.,2,Includes fragmentary manuscript notes of about fifty casualities under Brinton's care in 1861; his sketches of wounds are included. Pages 1-56 are hand-numbered and preceded by a table of contents. Cushing manuscript #16.
954389,"Chef doeuvre de chirurgie : contenant XIV actes d'examen, tant sur le chapitre singulier, que sur l'anathomie en general, les playes, ulceres, thumeurs, fractures, dislocations, & generalement toutes les maladies appartenantes á la chirurgie / par le Sr. Bonot.",1,"Manuscript, written in ink and bound in full leather, has title page lettered in red and black. It was purchased by the Yale Medical Historical Library from Thiebaud, catalog 81, in May, 1961."
954390,"Jansenist manuscript, 1723-1744 (inclusive).",1,Title on document: Convulsionnaires.
954392,Notes on general medicine : manuscript.,1,Title assigned by cataloger.
