bib,title,note_num,note,type
14520087,"T. L. McSpadden letter, Albuquerque, New Mexico, to L. Bradford Prince, Santa Fe, New Mexico, 1912 November 11 : manuscript.",1,Title devised by cataloger.,a
14520095,"McCann & Metcalfe letter, Nebraska City, Nebraska, to Samuel H. Kinney, West Point, New York, 1861 March 29 : manuscript.",1,Title devised by cataloger.,a
14520157,"Charles Maclay letter, San Fernando, California, to Governor Newton Booth, Sacramento, California, 1877 November 3 : manuscript.",1,Title devised by cataloger.,a
14520227,Directory of physicians practicing in the United States and Canada : manuscript.,1,Title devised by cataloger.,a
14522034,E. M. Pease and Lucadia Christiana Pease land document concerning the estate of Richard Niles : manuscript.,1,Title devised by cataloger.,a
14522063,Philip Jacob Phillippi land grant to David Ross : manuscript.,1,Title devised by cataloger.,a
14522345,Ebenezer Prescott deposition listing goods aboard the trading ship Snow Polly : manuscript.,1,Title devised by cataloger.,a
14522707,"R. M. Price letter, Tombstone, Arizona, to ""Dear Mother"", 1882 May 7 : manuscript.",1,Title devised by cataloger.,a
14523115,Andrew Rainsford petition to Peter Chester : manuscript.,1,Title devised by cataloger.,a
14524346,"James Shields letter, Faribault, Montana, to Derek Colburn, Boston, Massachusetts, 1856 July 2 : manuscript.",1,Title devised by cataloger.,a
14524346,"James Shields letter, Faribault, Montana, to Derek Colburn, Boston, Massachusetts, 1856 July 2 : manuscript.",2,Accompanied by a typed transcript made by an unidentified transcriber.,w
14524399,"George W. Sherman letter, Rich Gulf, California, to ""Dear Brother"", 1850 January 20 : manuscript.",1,Title devised by cataloger.,a
14524553,"Sir George Simpson letter, Lachine, Quebec, to George Coventry, Cobourg, Ontario, 1859 March 30 : manuscript.",1,Title devised by cataloger.,a
14524592,America : manuscript.,1,Title from first page.,a
14524592,America : manuscript.,2,Accompanied by a typed transcript made by an unidentified transcriber.,w
14524618,"Syria B. Smith letter, Taunton, Massachusetts, to ""Respected Friend"",1865 September 7 : manuscript.",1,Title devised by cataloger.,a
14525937,"P. B. Reed letter, Burlington, Iowa, to William Reed McVean and Hannah M. McVean, 1857 May 10 : manuscript.",1,Title devised by cataloger.,a
14526264,"Herman Myer Reynolds letter, Beatrice, Nebraska, to Stephen J. Gardner, Shohola, Pennsylvania,1857 August 23 : manuscript.",1,Title devised by cataloger.,a
14526280,"John McElroy letter, Yountville, California, to James J. Ayres, Los Angeles, California, 1891 March 22 : manuscript.",1,Title devised by cataloger.,a
14526285,880-03 Fatʹḥ al-Mubdiʻ fī sharḥ al-Muqniʻ : manuscript / Abū Yaḥyá Zakarīyā ibn Muḥammad al-Anṣārī.,1,Title from incipit (folio 1b).,a
