bib,title,note_num,note_text,note_type,record_total_notes,a_count,w_count,o_count,aw_count,ow_count,ao_count,unknown_count,source
17516867,"The ""last best west"" Canada west : homes for millions.",2,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.,a,3,2,1,0,0,0,0,0,daniel
17516867,"The ""last best west"" Canada west : homes for millions.",3,Title from publisher's website.,a,3,2,1,0,0,0,0,0,daniel
17516868,"Canada west : ""last best west' homes for millions.",2,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.,a,3,2,1,0,0,0,0,0,daniel
17516868,"Canada west : ""last best west' homes for millions.",3,Title from publisher's website.,a,3,2,1,0,0,0,0,0,daniel
17516869,Engleski : sta vi treba da znate na poljskom imanju.,2,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.,a,3,2,1,0,0,0,0,0,daniel
17516869,Engleski : sta vi treba da znate na poljskom imanju.,3,Title from publisher's website.,a,3,2,1,0,0,0,0,0,daniel
17516870,Eastern Canada : Canada the new homeland [1928].,2,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.,a,3,2,1,0,0,0,0,0,daniel
17516870,Eastern Canada : Canada the new homeland [1928].,3,Title from publisher's website.,a,3,2,1,0,0,0,0,0,daniel
17516871,Eastern Canada : Canada the new homeland [1924].,2,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.,a,3,2,1,0,0,0,0,0,daniel
17516871,Eastern Canada : Canada the new homeland [1924].,3,Title from publisher's website.,a,3,2,1,0,0,0,0,0,daniel
17516872,Home life of women in western Canada.,2,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.,a,3,2,1,0,0,0,0,0,daniel
17516872,Home life of women in western Canada.,3,Title from publisher's website.,a,3,2,1,0,0,0,0,0,daniel
17516873,Helping settlers to start in Canada.,2,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.,a,3,2,1,0,0,0,0,0,daniel
17516873,Helping settlers to start in Canada.,3,Title from publisher's website.,a,3,2,1,0,0,0,0,0,daniel
17516874,Farming and ranching in the Canadian north-west.,3,Title from publisher's website.,a,3,1,1,0,0,0,1,0,daniel
17516875,Herman Bahr's discharge certificate from the Orontes.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516876,Letter and ticket for the Commodore Perry.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516877,Surgeon's diary of John Hanchett on the ship Henry.,2,Title from publisher's website.,a,2,1,1,0,0,0,0,0,daniel
17516878,"Passenger ticket for ship James Baines to Hobart, Tasmania.",1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516879,"Photographs of migrants in Tasmania : includes a berthing ticket for the ship ""Taroona""and part of an identity card.",1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516880,Letter from George Massingham describing the shipwreck of the Netherby.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516881,Land grant to Thomas Preston.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516882,Certificate of Canadian citizenship issued to Sjonke (Sjouke George) Zwaagstra.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516883,Immigration identification card issued to Jean A. Johnson.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516884,Canadian Red Cross Society certificate presented to A. K. Jensen for donating blood.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516885,Immigration identification card issued to Patrick John Burke.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516886,Baggage tag for Mrs J. S. Burris.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516887,Certificate of Canadian citizenship issued to Sophie Martens.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516888,Immigration identification cardissued to Lukas J. Boven.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516889,Immigration identification card issued to Elfriede Fischer and children.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516890,Canadian National Railway ticket.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516891,Baggage stickers and railway tickets.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516892,Immigration identification card issued to Ilga Bormanis.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516893,S.S. Waterman passenger list.,2,Title from publisher's website.,a,2,1,1,0,0,0,0,0,daniel
17516894,Canadian National Railway's ticket folder.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516895,Dominion of Canada certificate of naturalization issued to Josef Kolembus.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516896,Danish passport issued to Anders K. Jensen.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516897,Passenger list from S.S. Maasdam.,2,Title from publisher's website.,a,2,1,1,0,0,0,0,0,daniel
17516898,Canadian passport issued to Josephine LeVangie.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516899,Canadian National Railways pamphlet.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
