bib,title,note_num,note_text,original_type,reviewer_1_id,reviewer_1_review,reviewer_1_type,reviewer_1_rationale
17516910,"Log of the Euterpe of Southampton. Volume 1, 1884-1887.",1,From collection: Euterpe/Star of India Log Book,o,zid,y,,
17516911,"Log of the Euterpe. Volume 1 (cont.), 1884-1885.",1,From collection: Euterpe/Star of India Log Book,o,zid,y,,
17516911,"Log of the Euterpe. Volume 1 (cont.), 1884-1885.",2,This log contains corresponding information to A0245.1.01.,o,zid,y,,
17516912,"Log of the Euterpe. Volume 2, 1887-1888.",2,From collection: Euterpe/Star of India Log Book,o,zid,y,,
17516913,"Log of the Euterpe. Volume 3, 1888-1890.",1,From collection: Euterpe/Star of India Log Book,o,zid,y,,
17516914,"Log of the Euterpe. Volume 4, 1890-1892.",1,From collection: Euterpe/Star of India Log Book,o,zid,y,,
17516915,"Log of the Euterpe. Volume 5, 1891-1892.",1,From collection: Euterpe/Star of India Log Book,o,zid,y,,
17516916,"Log of the Euterpe. Volume 6, 1892-1893.",2,From collection: Euterpe/Star of India Log Book,o,zid,y,,
17516917,"Log of the Euterpe. Volume 8, 1895-1896.",1,From collection: Euterpe/Star of India Log Book,o,zid,y,,
17516918,"Log of the Euterpe. Volume 9, 1896-1897.",1,From collection: Euterpe/Star of India Log Book,o,zid,y,,
17516919,"Log of the Euterpe. Volume 10, 1897-1900.",1,From collection: Euterpe/Star of India Log Book,o,zid,y,,
17516920,"Log of the Euterpe. Volume 11, 1898-1899.",1,From collection: Euterpe/Star of India Log Book,o,zid,y,,
17516921,"Log of the Euterpe. Volume 12, 1899-1900.",1,From collection: Euterpe/Star of India Log Book,o,zid,y,,
17516922,"Log of the Euterpe. Volume 13, 1900-1903.",1,From collection: Euterpe/Star of India Log Book,o,zid,y,,
17516923,"Log of the Euterpe. Volume 14, 1902-1904.",1,From collection: Euterpe/Star of India Log Book,o,zid,y,,
17516924,"Log of the Euterpe. Volume 15, 1906-1907.",1,From collection: Euterpe/Star of India Log Book,o,zid,y,,
17516925,"Log of the Star of India. Volume 17, 1909-1911.",1,From collection: Euterpe/Star of India Log Book,o,zid,y,,
17516926,"Log of the Star of India. Volume 18, 1912-1915.",1,From collection: Euterpe/Star of India Log Book,o,zid,y,,
17516926,"Log of the Star of India. Volume 18, 1912-1915.",2,"On April 18, 1912, there is signature in the log: O. L. Nilsson Master. No reference to Nilsson being a captain on the Star of India.",o,zid,y,,
17516927,"Log of the Star of India. Volume 19, 1918-1920.",1,From collection: Euterpe/Star of India Log Book,o,zid,y,,
17516927,"Log of the Star of India. Volume 19, 1918-1920.",3,Water damage has affected many pages in this logbook.,o,zid,y,,
17516928,"Log of the Star of India. Volume 20, 1920-1923.",1,From collection: Euterpe/Star of India Log Book,o,zid,y,,
17516956,Haggadah of Passover booklet.,1,Pages 51-52 are missing.,o,zid,y,,
17516958,Sign for Feltly hats.,1,93.5 x 154 cm.,o,zid,y,,
