bib,title,note_num,note_text,original_type,reviewer_1_id,reviewer_1_review,reviewer_1_type,reviewer_1_rationale
17516979,"Letter, Reuben Gatward to Polly : life on the goldfields.",3,"The letter is written on a wrapper for 'The Polygot Newsletter, a Summary in English, French, German and Spanish, for Transmission to Europe'. The Polygot was printed and published for the proprietors at the 'Punch' Office, Melbourne, October 1858. The wrapper has an etching of 'View on the Yarra near Dight's Mills' by F. Grusse on the front. The newsletter is an early example of a publication produced in several different languages; an indication of the 'multi-cultural' nature of the population of Victoria in the 1850s.",ow,zid,y,,
17517205,"Emigration, North America and Australia, 1832 : commissioners, public offices and individuals.",2,Document includes lists of passenger names. This volume includes searchable printed documents.,ow,zid,y,,
3670378,Excerpta ex diariis : mélanges de médecine et de chirurgie.,2,"Manuscript, written in black ink on pale blue paper and bound in contemporary boards by a Russian(?) physician, is chiefly in Latin but includes some French and German.",ow,wn,y,,
3670544,"Note-book of experiments and observations on anatomy and physiology / George Gulliver, January 1839.",2,"Some pages are blank, some have extra leaves inserted; there is an index on the final page.",ow,wn,y,,
3670835,"Excelsior diary : Columbian edition, 1893 / [signed in ink on title page: Geo. W. Vansint].",3,"Manuscript, written in ink on lined paper, is notebook, diary, and account book; it was donated to Yale Med by Charles Anchie in November, 1966.",ow,wn,y,,
954392,Notes on general medicine : manuscript.,4,"Binding: bound in vellum (manuscript waste). Original text is French, unidentified.",ow,dm,y,,
1763846,Political papers [1747-1753] / written by Horace Walpole ... [Holograph],1,"A commonplace book, bound in vellum.",ow,dm,y,,
11641080,"[Billhead of J.R. Taylor & Sons, butchers in Bournemouth and Westbourne, for purchases made by the late Rev. Sawyer, of Heather Lodge, 1913].",2,The top of the billhead features an image of Taylor's shopfront in Bournemouth. The illustration and text are printed in purple ink.,ow,dm,y,,
11662490,"Billheads of Elliston & Cavell, clothiers, Oxford, for clothing purchased by Mrs. Risley, on behalf of the Warneford Asylum.",3,The lithographed billhead features an illustration of Elliston & Cavell's storefront in Oxford. The sheet from 1909 is printed in blue ink.,ow,dm,y,,
11668742,"[Billhead and receipt of Oetzmann & Co., London, for purchase of carpet by R.W. Stevenson].",1,"Accompanied by a receipt on a separate form, also from Aug 22, 1881. Stevenson pays £5/0/0, leaving a balance of 19/0. Receipt bears a one penny stamp, printed in red and embossed.",ow,dm,y,,
11669287,"[Billhead recording cloth purchases from Joseph Osborn, linen and woollen draper, Dunstable].",1,"""Bot. of George Osborn, linen & woollen draper, hosier, hatter and glover."" The word ""George"" has been crossed through and replaced with ""Joseph,"" in pen and black ink.",ow,dm,y,,
11752426,"Crystal Palace season ticket, 1855.",1,"Season ticket for admission to Crystal Palace, 1855 (""available till 30 April 1856""). No. 21921, signed by Charles Carrington (the ticket holder). All text is engraved, with printing on both sides, the rules of use on the reverse. In contemporary calf wallet, with blue silk lining.",ow,dm,y,,
11777669,Prayer roll in Latin and Middle English.,1,"The Middle English lyrics appear in several other manuscripts, including the Vernon MS (Bodleian Library).",ow,dm,y,,
12625958,Album of drawings of mosses.,1,"The estimated date is based on a note at front (accompanying a small graphite sketch): ""Found at Knoyle, Febry., 1844.""",ow,dm,y,,
12661239,"Micmac Catholic prayers, circa 1825.",1,"Approximate date based on the paper's watermark, ""Carrone 1825.""",ow,dm,y,,
12785654,"Poems, [circa 1630-1639].",1,"Text block foliated 1-47 in a contemporary hand, but with an unnumbered textual leaf between 1 and 2. Blank leaves at the beginning and end of the volume.",ow,dm,y,,
