bib,title,note_num,note_text,original_type,reviewer_1_id,reviewer_1_review,reviewer_1_type,reviewer_1_rationale
17516893,S.S. Waterman passenger list.,1,Document includes lists of passenger names.,w,zid,y,,
17516897,Passenger list from S.S. Maasdam.,1,Document includes lists of passenger names.,w,zid,y,,
17516900,Passenger list from S.S. Zuiderkruis.,1,Document includes lists of passenger names.,w,zid,y,,
17516901,Passenger list from M.S. Johan van Oldenbarnevelt.,1,Document includes lists of passenger names.,w,zid,y,,
17516912,"Log of the Euterpe. Volume 2, 1887-1888.",1,Author probably Captain H W Bowman or Captain Thomas Bowling.,w,zid,y,,
17516916,"Log of the Euterpe. Volume 6, 1892-1893.",1,Author probably Captain Roland Streeter.,w,zid,y,,
17516929,New tales of Euterpe : Star of India as a British emigrant ship.,1,A special issue of Mains'l Haul. A Journal of Pacific Maritime History.,w,zid,y,,
17516932,Certificate of incorporation : congregation of the people of Grodna.,1,Certificate of Incorporation: Chebra Rabeno Nochum Anshei Grodna.,w,zid,y,,
17517174,"Canada settlers, 1817. Volume 1, A-Z.",2,Document includes lists of passenger names. This volume includes searchable printed documents.,w,zid,y,,
17517182,"North American settlers and offices, 1822.",2,Document includes lists of passenger names.,w,zid,y,,
17517183,"North America settlers, 1823.",2,Document includes lists of passenger names.,w,zid,y,,
17517213,"Emigration, North America and Australia, 1835. Volume I, Emigration committee, Mr Marshall, Mr Buchanan and the agents.",2,Document includes lists of passenger names.,w,zid,y,,
3668927,[Lectures on surgery].,4,"The lectures (39 in number, with Introduction and Index) were delivered to students in London during 1829. They concern surgery and kindred subject matter.",w,wn,y,,
3668983,"Partielle Differentialgleichungen; Anwendungen der Abel'schen Functionen; Infinitesimalgeometrie; Bestimmte Integration / [vorgetragen von Prof. Christoffel], 1885-1886.",1,Lecture notes taken by Lehmann during four mathematics classes taught by Professor Christoffel at Strassburg during the 1885-1886 school session.,w,wn,y,,
3669062,"Robert Duer's receipt book, 10th of July, 1812 : book 10.",1,"Likely Duer's pharmacy/materia medica class notes, as he graduated from the University of Pennsylvania in 1814.",w,wn,y,,
3669791,Ḥāshiyat Tahdhīb Jānqarī. -- [17--?].,1,Mach gives title as: Ḥāshiyah ʻalá Ḥāshiyat Mīr Abī al-Fatḥ.,w,wn,y,,
3669929,Kifāyat al-ghulām fī iʻrāb al-kalām. -- [15--?].,1,Also known as: al-Alfīyah.,w,wn,y,,
3670378,Excerpta ex diariis : mélanges de médecine et de chirurgie.,1,Entries are dated 1838-1843 and include an index on the final 23 pages.,w,wn,y,,
3670397,[Manuscrits d'un chirurgien russe ou tchèque].,2,"Manuscript of a Russian or Czech surgeon on various subjects, with some entries dated from 1833 to 1842.",w,wn,y,,
3670439,"Physiology : lectures on the physical conditions of the tissues of the human body as applied to the explanation of vital phenomena : delivered at the College of France, 1834 / by F. Magendie, Professor of Physiology and Medicine, 1834.",1,"Notes taken down by Robert Sewell, with the 7 p. at end titled ""Index.""",w,wn,y,,
3670491,Sharḥ al-ʻArūḍ al-Andalusī. -- 1728.,1,Variant title in manuscript: Sharḥ mushkilāt al-mukhtaṣar fī ʻilm al-ʻarūḍ.,w,wn,y,,
3670491,Sharḥ al-ʻArūḍ al-Andalusī. -- 1728.,3,"Followed by 3 pages (25 verso-26), untitled and ending abruptly, unrelated to primary text.",w,wn,y,,
3670518,"Receipes for takeing of cemicals, 1850.",3,Recipes for mixing chemicals.,w,wn,y,,
3670544,"Note-book of experiments and observations on anatomy and physiology / George Gulliver, January 1839.",4,Includes much of his original research on the blood.,w,wn,y,,
3670618,al-Durr al-manẓūm. -- 1731 or 2.,1,Variant title in manuscript: Naẓm farāʾiḍ Multaqá al-abḥur.,w,wn,y,,
3670642,[Kitāb fī al-farāʾiḍ]. -- 1828 or 9.,2,Followed by an untitled 2-page treatise on same subject; ends abruptly.,w,wn,y,,
3670642,[Kitāb fī al-farāʾiḍ]. -- 1828 or 9.,3,Last 3 leaves comprised of notes.,w,wn,y,,
3670725,al-ʻArūḍ al-Andalusī. -- [17--].,2,A few pages of notes precede and follow main text.,w,wn,y,,
3670835,"Excelsior diary : Columbian edition, 1893 / [signed in ink on title page: Geo. W. Vansint].",1,"Diary includes a blank page for each date, printed almanac and calendar, and pages for accounts.",w,wn,y,,
3670836,"Account book, 1862-1870.",1,"Includes patient information concerning the doctor's practice in New Haven, Conn.",w,wn,y,,
92262,"Sha'ir musuh Kelantan [microform] : sebuah naskah asli, diselenggarakan dengan pengenalan dan anotasi / oleh Kassim bin Ahmad.",1,Includes index.,w,dm,y,,
298637,"CIA research reports, Africa, 1946-1976 [microform].",1,"""A microfilm project of University Publications of America, Inc.""",w,dm,y,,
650531,"Compendium musices : theoretico-practicum : das ist, kurtzer Begriff derer nöthingsten Compositions Regeln / abgefasset von Johann Adolph Scheibe ; Ao. 1736.",2,"A ms. with the same title is to be found in the Leipzig Städt Musikbibliothek. Cf. MGG, v. 11, col. 1618.",w,dm,y,,
650533,"Compendium musices [microform]: theoretico-practicum : das ist, kurtzer Begriff derer nöthingsten Compositions Regeln / abgefasset von Johann Adolph Scheibe ; Ao. 1736.",2,"A ms. with the same title is to be found in the Leipzig Städt Musikbibliothek. Cf. MGG, v. 11, col. 1618.",w,dm,y,,
651110,"[Letters] 1672-1679, [Venice, to Johann Friedrich, Herzog von Hannover] [microform] / Antonio Sartorio.",2,In Italian.,w,dm,y,,
651131,[Missal de Saint-Denis] [microform].,2,The music is in French neumes.,w,dm,y,,
651131,[Missal de Saint-Denis] [microform].,3,"Detailed description in: Les sacramentaires et les missels manuscrits / V. Leroquais. Paris, 1924.",w,dm,y,,
954390,"Jansenist manuscript, 1723-1744 (inclusive).",1,Title on document: Convulsionnaires.,w,dm,y,,
954392,Notes on general medicine : manuscript.,2,"Colophon on first and last pages: Joannes Colhoun propria exarauit dextra in insula Rheana anno domini millesimo sexcentesimo quinquagesimo secundi; and: Johannes Colhoun, 8 December 1652.",w,dm,y,,
954392,Notes on general medicine : manuscript.,3,Place of production: in insula Rheana?,w,dm,y,,
991579,"Elisha Perkins letter and account book, 1788-1816 (inclusive)",1,"The last 44 leaves are devoted to the accounts of the estate of Elisha Perkins with Sally and Harry Perkins, executors.",w,dm,y,,
991583,Trattato delle lussationi e fratture : manuscript / di Bernardino Genga da Mondolfo.,2,Lightly decorated: first page contains an annotated drawing of a skeleton; middle of the manuscript has a drawing of a leaf.,w,dm,y,,
991584,Cours de médecine.,2,"Entitled, ""Cours de médicine"" with chapters on external diseases of the head, internal disorders, consumption, fevers, and diseases of children. The author of the manuscript is unknown.",w,dm,y,,
1222356,Icelandic sagas : manuscript.,1,"Manuscript note on first page: ""6 May 1806"".",w,dm,y,,
1223088,Icelandic sagas : manuscript.,1,Text in Icelandic.,w,dm,y,,
1227935,"S'ensuit le plaid general et coutume, de la cité & balliage de Lausanne ... : manuscript.",2,"Spine title: ""Le Plaid General"".",w,dm,y,,
1227935,"S'ensuit le plaid general et coutume, de la cité & balliage de Lausanne ... : manuscript.",3,"Title continues: ""... Contenu aux antiquités & vieux droits & documents d'icelle cité, revû de nouveau pour memoire future & pour l'usage de la posterité, par les commis de la ditte cité de Lausanne, des 4 paroisses de la Vaux, que de la ville d'Avenche & autres lieux en dépendans, & approuvé par les nobles citoyens bourgeois & com[m]uniers des dits lieux presenté le vingtiéme d'avril mille six cent & treize, par les dits commis, a l'excellence des illustres & magnifiq[ue] seigneurs de la ville & canton de Berne, leurs souverains seigneurs & superieurs, et luës & confirmées en deux cent à Lausanne, le quinziéme de septembre 1618: comme il est écrit à la fin"".",w,dm,y,,
1227935,"S'ensuit le plaid general et coutume, de la cité & balliage de Lausanne ... : manuscript.",5,Includes alphabetical index.,w,dm,y,,
1227935,"S'ensuit le plaid general et coutume, de la cité & balliage de Lausanne ... : manuscript.",6,Includes five pages of commentary at end.,w,dm,y,,
1230489,Instruction sur la manière de se servis de la lunette contenans un micromètre fait avec des prismes de cristal de roche : manuscript and printed text.,2,"Signed on verso of leaf 5: ""Par Mr. Filibert Torelli"".",w,dm,y,,
1230489,Instruction sur la manière de se servis de la lunette contenans un micromètre fait avec des prismes de cristal de roche : manuscript and printed text.,3,"Second section titled: ""Note de Mr. Alexis Rochon sur l'éffet des prismes de cristal de roche dans cette lunette"".",w,dm,y,,
1230489,Instruction sur la manière de se servis de la lunette contenans un micromètre fait avec des prismes de cristal de roche : manuscript and printed text.,4,"Printed table titled: ""Table pour l'usage de mon micromètre"".",w,dm,y,,
1230493,L'Art d'instrumenter ou de dresser toutes sortes d'actes publics concernant l'office de notaire selon les loix du Paÿs de Vaud : Copié sur un ouvrage fait en 1715 : manuscript.,2,Includes table of contents at end.,w,dm,y,,
1230498,"Le coustumier c'est à diré les loix statuts & coûtumes de la ville et balliage de Lausanne : Contenu aux antiques droits et documents d'icelles reueu de nouveau par les commis tant de la ville et cité de Lausanne, des quatres parroisses de la Vaux, que de la ville d'Avenche, et lieux en dependants approuvé par les nobles citoyens bourgeois et communiers des dits lieux : manuscript.",2,Includes alphabetical table of contents at end.,w,dm,y,,
