bib,title,num,type,note,review,reviewer,source
17516867,"The ""last best west"" Canada west : homes for millions.",1,w,From collection: Canada Pamphlets,n,zid,zid
17516867,"The ""last best west"" Canada west : homes for millions.",2,a,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.,y,zid,zid
17516867,"The ""last best west"" Canada west : homes for millions.",3,a,Title from publisher's website.,y,zid,zid
17516868,"Canada west : ""last best west' homes for millions.",1,w,From collection: Canada Pamphlets,n,zid,zid
17516868,"Canada west : ""last best west' homes for millions.",2,a,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.,y,zid,zid
17516868,"Canada west : ""last best west' homes for millions.",3,a,Title from publisher's website.,y,zid,zid
17516869,Engleski : sta vi treba da znate na poljskom imanju.,1,w,From collection: Canada Pamphlets,n,zid,zid
17516869,Engleski : sta vi treba da znate na poljskom imanju.,2,a,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.,y,zid,zid
17516869,Engleski : sta vi treba da znate na poljskom imanju.,3,a,Title from publisher's website.,y,zid,zid
17516870,Eastern Canada : Canada the new homeland [1928].,1,w,From collection: Canada Pamphlets,n,zid,zid
17516870,Eastern Canada : Canada the new homeland [1928].,2,a,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.,y,zid,zid
17516870,Eastern Canada : Canada the new homeland [1928].,3,a,Title from publisher's website.,y,zid,zid
17516871,Eastern Canada : Canada the new homeland [1924].,1,w,From collection: Canada Pamphlets,n,zid,zid
17516871,Eastern Canada : Canada the new homeland [1924].,2,a,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.,y,zid,zid
17516871,Eastern Canada : Canada the new homeland [1924].,3,a,Title from publisher's website.,y,zid,zid
17516872,Home life of women in western Canada.,1,w,From collection: Canada Pamphlets,n,zid,zid
17516872,Home life of women in western Canada.,2,a,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.,y,zid,zid
17516872,Home life of women in western Canada.,3,a,Title from publisher's website.,y,zid,zid
17516873,Helping settlers to start in Canada.,1,w,From collection: Canada Pamphlets,n,zid,zid
17516873,Helping settlers to start in Canada.,2,a,Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.,y,zid,zid
17516873,Helping settlers to start in Canada.,3,a,Title from publisher's website.,y,zid,zid
17516874,Farming and ranching in the Canadian north-west.,1,w,From collection: Canada Pamphlets,n,zid,zid
17516874,Farming and ranching in the Canadian north-west.,2,ao,Leftlet is imperfect and lacks map. Please note: Some of the metadata for this document has been taken from the Glenbow Museum catalogue.,y,zid,zid
17516874,Farming and ranching in the Canadian north-west.,3,a,Title from publisher's website.,y,zid,zid
17516875,Herman Bahr's discharge certificate from the Orontes.,1,a,Title from publisher's website.,y,zid,zid
17516876,Letter and ticket for the Commodore Perry.,1,a,Title from publisher's website.,y,zid,zid
17516877,Surgeon's diary of John Hanchett on the ship Henry.,1,w,Includes a transcript of the diary.,n,zid,zid
17516877,Surgeon's diary of John Hanchett on the ship Henry.,2,a,Title from publisher's website.,y,zid,zid
17516878,"Passenger ticket for ship James Baines to Hobart, Tasmania.",1,a,Title from publisher's website.,y,zid,zid
17516879,"Photographs of migrants in Tasmania : includes a berthing ticket for the ship ""Taroona""and part of an identity card.",1,a,Title from publisher's website.,y,zid,zid
17516880,Letter from George Massingham describing the shipwreck of the Netherby.,1,a,Title from publisher's website.,y,zid,zid
17516881,Land grant to Thomas Preston.,1,a,Title from publisher's website.,y,zid,zid
17516882,Certificate of Canadian citizenship issued to Sjonke (Sjouke George) Zwaagstra.,1,a,Title from publisher's website.,y,zid,zid
17516883,Immigration identification card issued to Jean A. Johnson.,1,a,Title from publisher's website.,y,zid,zid
17516884,Canadian Red Cross Society certificate presented to A. K. Jensen for donating blood.,1,a,Title from publisher's website.,y,zid,zid
17516885,Immigration identification card issued to Patrick John Burke.,1,a,Title from publisher's website.,y,zid,zid
17516886,Baggage tag for Mrs J. S. Burris.,1,a,Title from publisher's website.,y,zid,zid
17516887,Certificate of Canadian citizenship issued to Sophie Martens.,1,a,Title from publisher's website.,y,zid,zid
17516888,Immigration identification cardissued to Lukas J. Boven.,1,a,Title from publisher's website.,y,zid,zid
17516889,Immigration identification card issued to Elfriede Fischer and children.,1,a,Title from publisher's website.,y,zid,zid
17516890,Canadian National Railway ticket.,1,a,Title from publisher's website.,y,zid,zid
17516891,Baggage stickers and railway tickets.,1,a,Title from publisher's website.,y,zid,zid
17516892,Immigration identification card issued to Ilga Bormanis.,1,a,Title from publisher's website.,y,zid,zid
17516893,S.S. Waterman passenger list.,1,w,Document includes lists of passenger names.,y,zid,zid
17516893,S.S. Waterman passenger list.,2,a,Title from publisher's website.,y,zid,zid
17516894,Canadian National Railway's ticket folder.,1,a,Title from publisher's website.,y,zid,zid
17516895,Dominion of Canada certificate of naturalization issued to Josef Kolembus.,1,a,Title from publisher's website.,y,zid,zid
17516896,Danish passport issued to Anders K. Jensen.,1,a,Title from publisher's website.,y,zid,zid
17516897,Passenger list from S.S. Maasdam.,1,w,Document includes lists of passenger names.,y,zid,zid
17516897,Passenger list from S.S. Maasdam.,2,a,Title from publisher's website.,y,zid,zid
17516898,Canadian passport issued to Josephine LeVangie.,1,a,Title from publisher's website.,y,zid,zid
17516899,Canadian National Railways pamphlet.,1,a,Title from publisher's website.,y,zid,zid
17516900,Passenger list from S.S. Zuiderkruis.,1,w,Document includes lists of passenger names.,y,zid,zid
17516900,Passenger list from S.S. Zuiderkruis.,2,a,Title from publisher's website.,y,zid,zid
17516901,Passenger list from M.S. Johan van Oldenbarnevelt.,1,w,Document includes lists of passenger names.,y,zid,zid
17516901,Passenger list from M.S. Johan van Oldenbarnevelt.,2,a,Title from publisher's website.,y,zid,zid
17516902,Dock to destination.,1,a,Title from publisher's website.,y,zid,zid
17516903,To Canada : Cunard Line.,1,a,Title from publisher's website.,y,zid,zid
17516904,Australia's mining industries.,1,a,Title from publisher's website.,y,zid,zid
17516905,Farming industries for small holders in Australia.,1,a,Title from publisher's website.,y,zid,zid
17516906,Australia's industrial progress.,1,a,Title from publisher's website.,y,zid,zid
17516907,Australia invites the British domestic girl.,1,a,Title from publisher's website.,y,zid,zid
17516908,"Treasure island British Empire exhibition, Wembley 1925.",1,a,Title from publisher's website.,y,zid,zid
17516909,Canada.,1,a,Title from publisher's website.,y,zid,zid
17516910,"Log of the Euterpe of Southampton. Volume 1, 1884-1887.",1,o,From collection: Euterpe/Star of India Log Book,y,zid,zid
17516910,"Log of the Euterpe of Southampton. Volume 1, 1884-1887.",2,a,Title from publisher's website.,y,zid,zid
17516911,"Log of the Euterpe. Volume 1 (cont.), 1884-1885.",1,o,From collection: Euterpe/Star of India Log Book,y,zid,zid
17516911,"Log of the Euterpe. Volume 1 (cont.), 1884-1885.",2,o,This log contains corresponding information to A0245.1.01.,y,zid,zid
17516911,"Log of the Euterpe. Volume 1 (cont.), 1884-1885.",3,a,Title from publisher's website.,y,zid,zid
17516912,"Log of the Euterpe. Volume 2, 1887-1888.",1,w,Author probably Captain H W Bowman or Captain Thomas Bowling.,y,zid,zid
17516912,"Log of the Euterpe. Volume 2, 1887-1888.",2,o,From collection: Euterpe/Star of India Log Book,y,zid,zid
17516912,"Log of the Euterpe. Volume 2, 1887-1888.",3,a,Title from publisher's website.,y,zid,zid
17516913,"Log of the Euterpe. Volume 3, 1888-1890.",1,o,From collection: Euterpe/Star of India Log Book,y,zid,zid
17516913,"Log of the Euterpe. Volume 3, 1888-1890.",2,a,Title from publisher's website.,y,zid,zid
17516914,"Log of the Euterpe. Volume 4, 1890-1892.",1,o,From collection: Euterpe/Star of India Log Book,y,zid,zid
17516914,"Log of the Euterpe. Volume 4, 1890-1892.",2,a,Title from publisher's website.,y,zid,zid
17516915,"Log of the Euterpe. Volume 5, 1891-1892.",1,o,From collection: Euterpe/Star of India Log Book,y,zid,zid
17516915,"Log of the Euterpe. Volume 5, 1891-1892.",2,w,This log is a continuation of A0245.1.05.,n,zid,zid
17516915,"Log of the Euterpe. Volume 5, 1891-1892.",3,a,Title from publisher's website.,y,zid,zid
17516916,"Log of the Euterpe. Volume 6, 1892-1893.",1,w,Author probably Captain Roland Streeter.,y,zid,zid
17516916,"Log of the Euterpe. Volume 6, 1892-1893.",2,o,From collection: Euterpe/Star of India Log Book,y,zid,zid
17516916,"Log of the Euterpe. Volume 6, 1892-1893.",3,a,Title from publisher's website.,y,zid,zid
17516917,"Log of the Euterpe. Volume 8, 1895-1896.",1,o,From collection: Euterpe/Star of India Log Book,y,zid,zid
17516917,"Log of the Euterpe. Volume 8, 1895-1896.",2,a,Title from publisher's website.,y,zid,zid
17516918,"Log of the Euterpe. Volume 9, 1896-1897.",1,o,From collection: Euterpe/Star of India Log Book,y,zid,zid
17516918,"Log of the Euterpe. Volume 9, 1896-1897.",2,a,Title from publisher's website.,y,zid,zid
17516919,"Log of the Euterpe. Volume 10, 1897-1900.",1,o,From collection: Euterpe/Star of India Log Book,y,zid,zid
17516919,"Log of the Euterpe. Volume 10, 1897-1900.",2,a,Title from publisher's website.,y,zid,zid
17516920,"Log of the Euterpe. Volume 11, 1898-1899.",1,o,From collection: Euterpe/Star of India Log Book,y,zid,zid
17516920,"Log of the Euterpe. Volume 11, 1898-1899.",2,w,This log is a continuation of A0245.1.10.,n,zid,zid
17516920,"Log of the Euterpe. Volume 11, 1898-1899.",3,a,Title from publisher's website.,y,zid,zid
17516921,"Log of the Euterpe. Volume 12, 1899-1900.",1,o,From collection: Euterpe/Star of India Log Book,y,zid,zid
17516921,"Log of the Euterpe. Volume 12, 1899-1900.",2,w,This log is a continuation of A0245.1.11.,n,zid,zid
17516921,"Log of the Euterpe. Volume 12, 1899-1900.",3,a,Title from publisher's website.,y,zid,zid
17516922,"Log of the Euterpe. Volume 13, 1900-1903.",1,o,From collection: Euterpe/Star of India Log Book,y,zid,zid
17516922,"Log of the Euterpe. Volume 13, 1900-1903.",2,a,Title from publisher's website.,y,zid,zid
17516923,"Log of the Euterpe. Volume 14, 1902-1904.",1,o,From collection: Euterpe/Star of India Log Book,y,zid,zid
17516923,"Log of the Euterpe. Volume 14, 1902-1904.",2,ow,"This log contains corresponding information to A0245.1.13. This entire log features extremely obscure handwritten entries with numerous misspellings, making it very hard to read.",n,zid,zid
17516923,"Log of the Euterpe. Volume 14, 1902-1904.",3,a,Title from publisher's website.,y,zid,zid
17516924,"Log of the Euterpe. Volume 15, 1906-1907.",1,o,From collection: Euterpe/Star of India Log Book,y,zid,zid
17516924,"Log of the Euterpe. Volume 15, 1906-1907.",2,a,Title from publisher's website.,y,zid,zid
17516925,"Log of the Star of India. Volume 17, 1909-1911.",1,o,From collection: Euterpe/Star of India Log Book,y,zid,zid
17516925,"Log of the Star of India. Volume 17, 1909-1911.",2,a,Title from publisher's website.,y,zid,zid
17516926,"Log of the Star of India. Volume 18, 1912-1915.",1,o,From collection: Euterpe/Star of India Log Book,y,zid,zid
17516926,"Log of the Star of India. Volume 18, 1912-1915.",2,o,"On April 18, 1912, there is signature in the log: O. L. Nilsson Master. No reference to Nilsson being a captain on the Star of India.",y,zid,zid
17516926,"Log of the Star of India. Volume 18, 1912-1915.",3,a,Title from publisher's website.,y,zid,zid
17516927,"Log of the Star of India. Volume 19, 1918-1920.",1,o,From collection: Euterpe/Star of India Log Book,y,zid,zid
17516927,"Log of the Star of India. Volume 19, 1918-1920.",2,a,Title from publisher's website.,y,zid,zid
17516927,"Log of the Star of India. Volume 19, 1918-1920.",3,o,Water damage has affected many pages in this logbook.,y,zid,zid
17516928,"Log of the Star of India. Volume 20, 1920-1923.",1,o,From collection: Euterpe/Star of India Log Book,y,zid,zid
17516928,"Log of the Star of India. Volume 20, 1920-1923.",2,a,Title from publisher's website.,y,zid,zid
17516929,New tales of Euterpe : Star of India as a British emigrant ship.,1,w,A special issue of Mains'l Haul. A Journal of Pacific Maritime History.,y,zid,zid
17516929,New tales of Euterpe : Star of India as a British emigrant ship.,2,a,Title from publisher's website.,y,zid,zid
17516930,"Landlord's log book for 97 Orchard Street, 1953 to 1981.",1,a,Title from publisher's website.,y,zid,zid
17516931,Recipe for apples.,1,a,Title from publisher's website.,y,zid,zid
17516932,Certificate of incorporation : congregation of the people of Grodna.,1,w,Certificate of Incorporation: Chebra Rabeno Nochum Anshei Grodna.,y,zid,zid
17516932,Certificate of incorporation : congregation of the people of Grodna.,2,w,Source - Robert Schuman.,n,zid,zid
17516932,Certificate of incorporation : congregation of the people of Grodna.,3,a,Title from publisher's website.,y,zid,zid
17516933,The Jewish housewife's guide : laws for making meat kosher and other important information.,1,a,Title from publisher's website.,y,zid,zid
17516934,Business card : M. Finkelstein.,1,a,Title from publisher's website.,y,zid,zid
17516935,"Sheet of riddles : ""fun for the whole family, can you guess these taystee riddles"".",1,a,Title from publisher's website.,y,zid,zid
17516936,Steinway & Sons : brief history and explanation of the Steinway system and piano fortes.,1,a,Title from publisher's website.,y,zid,zid
17516937,"Invoice from New Aseptic Laboratories, Columbia, S.C. for medical supplies.",1,a,Title from publisher's website.,y,zid,zid
17516938,Green ticket for high holidays.,1,a,Title from publisher's website.,y,zid,zid
17516939,Selikhes ticket.,1,a,Title from publisher's website.,y,zid,zid
17516940,Citizenship certificate : Kalmer Hochberger.,1,a,Title from publisher's website.,y,zid,zid
17516941,Love letter.,1,a,Title from publisher's website.,y,zid,zid
17516942,Feltly Hats business card.,1,a,Title from publisher's website.,y,zid,zid
17516943,Discount hats business card.,1,a,Title from publisher's website.,y,zid,zid
17516944,Dora Meltzer palmist calling card.,1,a,Title from publisher's website.,y,zid,zid
17516945,"Calendar fragment [Nov. 1935],",1,a,Title from publisher's website.,y,zid,zid
17516946,Kosher recipes.,1,a,Title from publisher's website.,y,zid,zid
17516947,Calendar fragment [Feb. 1935].,1,a,Title from publisher's website.,y,zid,zid
17516948,"Italian calendar, Jul-Aug 1934.",1,a,Title from publisher's website.,y,zid,zid
17516949,"Seward Park library overdue book card, SW Ruin.",1,a,Title from publisher's website.,y,zid,zid
17516950,C J Thom laundry ticket.,1,a,Title from publisher's website.,y,zid,zid
17516951,Yiddish advertisement for English lessons.,1,a,Title from publisher's website.,y,zid,zid
17516952,"Charles Schubert, butcher : business card.",1,a,Title from publisher's website.,y,zid,zid
17516953,"Rules and regulations for plumbing and drainage water supply, gas piping and ventilation of buildings.",1,a,Title from publisher's website.,y,zid,zid
17516954,"Act to amend the tenement house law, generally.",1,a,Title from publisher's website.,y,zid,zid
17516955,Fire Engine Co. no. 9 ledger.,1,a,Title from publisher's website.,y,zid,zid
17516956,Haggadah of Passover booklet.,1,o,Pages 51-52 are missing.,y,zid,zid
17516956,Haggadah of Passover booklet.,2,a,Title from publisher's website.,y,zid,zid
17516957,"Smulewitz's musical album, Ellis Island.",1,a,Title from publisher's website.,y,zid,zid
17516958,Sign for Feltly hats.,1,o,93.5 x 154 cm.,y,zid,zid
17516958,Sign for Feltly hats.,2,a,Title from publisher's website.,y,zid,zid
17516959,Sign for La Mode Bead & Novelty Co. Crystals & Pearls.,1,a,Title from publisher's website.,y,zid,zid
17516960,Kosher Butchers Association sign.,1,o,28 x 35.4 cm.,y,zid,zid
17516960,Kosher Butchers Association sign.,2,a,Title from publisher's website.,y,zid,zid
17516961,Cigarette card : union vs. non-union shops.,1,o,7.7 x 8 cm.,y,zid,zid
17516961,Cigarette card : union vs. non-union shops.,2,a,Title from publisher's website.,y,zid,zid
17516962,Dobbs hats small sign.,1,o,12.5 x 21.5 cm.,y,zid,zid
17516962,Dobbs hats small sign.,2,a,Title from publisher's website.,y,zid,zid
17516963,Millinery Workers Union stamp.,1,a,Title from publisher's website.,y,zid,zid
17516964,Sign bearing shoe shop notice.,1,w,Source - Sam Goldstein.,n,zid,zid
17516964,Sign bearing shoe shop notice.,2,a,Title from publisher's website.,y,zid,zid
17516965,Children's shoes advertising sign.,1,o,11 x 7 inches.,y,zid,zid
17516965,Children's shoes advertising sign.,2,w,Source - Sam Goldstein.,n,zid,zid
17516965,Children's shoes advertising sign.,3,a,Title from publisher's website.,y,zid,zid
17516966,"""Closed to-day, will re-open to-morrow"" sign.",1,w,Source - Sam Goldstein.,n,zid,zid
17516966,"""Closed to-day, will re-open to-morrow"" sign.",2,a,Title from publisher's website.,y,zid,zid
17516967,"""Hard to fit"" shoe store sign.",1,w,Source - Sam Goldstein.,n,zid,zid
17516967,"""Hard to fit"" shoe store sign.",2,a,Title from publisher's website.,y,zid,zid
