bib,title,num,type,note,review,reviewer
92262,"Sha'ir musuh Kelantan [microform] : sebuah naskah asli, diselenggarakan dengan pengenalan dan anotasi / oleh Kassim bin Ahmad.",1,w,Includes index.,y,dm
235861,Československý jazyk : Doudlebské nářečí / Pelán Bedřich.,1,o,Holograph (photocopy) signed.,y,dm
298637,"CIA research reports, Africa, 1946-1976 [microform].",1,w,"""A microfilm project of University Publications of America, Inc.""",y,dm
650531,"Compendium musices : theoretico-practicum : das ist, kurtzer Begriff derer nöthingsten Compositions Regeln / abgefasset von Johann Adolph Scheibe ; Ao. 1736.",1,o,"Copyist's ms. (possibly that of C. Graupner), in ink.",y,dm
650531,"Compendium musices : theoretico-practicum : das ist, kurtzer Begriff derer nöthingsten Compositions Regeln / abgefasset von Johann Adolph Scheibe ; Ao. 1736.",2,w,"A ms. with the same title is to be found in the Leipzig Städt Musikbibliothek. Cf. MGG, v. 11, col. 1618.",y,dm
650533,"Compendium musices [microform]: theoretico-practicum : das ist, kurtzer Begriff derer nöthingsten Compositions Regeln / abgefasset von Johann Adolph Scheibe ; Ao. 1736.",1,o,"Copyist's ms. (possibly that of C. Graupner), in ink.",y,dm
650533,"Compendium musices [microform]: theoretico-practicum : das ist, kurtzer Begriff derer nöthingsten Compositions Regeln / abgefasset von Johann Adolph Scheibe ; Ao. 1736.",2,w,"A ms. with the same title is to be found in the Leipzig Städt Musikbibliothek. Cf. MGG, v. 11, col. 1618.",y,dm
651110,"[Letters] 1672-1679, [Venice, to Johann Friedrich, Herzog von Hannover] [microform] / Antonio Sartorio.",1,o,"Sixteen holographs, signed.",y,dm
651110,"[Letters] 1672-1679, [Venice, to Johann Friedrich, Herzog von Hannover] [microform] / Antonio Sartorio.",2,w,In Italian.,y,dm
651131,[Missal de Saint-Denis] [microform].,1,o,Ms.,?,dm
651131,[Missal de Saint-Denis] [microform].,2,w,The music is in French neumes.,y,dm
651131,[Missal de Saint-Denis] [microform].,3,w,"Detailed description in: Les sacramentaires et les missels manuscrits / V. Leroquais. Paris, 1924.",y,dm
954387,John Hill Brinton's notes on cases : 1861.,1,o,"Manuscript is written in ink and pencil and bound in full cloth; it was purchased by Dr. Harvey Cushing in December, 1938 from Samuel Mayerman (Philadelphia book dealer).",y,dm
954387,John Hill Brinton's notes on cases : 1861.,2,w,Includes fragmentary manuscript notes of about fifty casualities under Brinton's care in 1861; his sketches of wounds are included. Pages 1-56 are hand-numbered and preceded by a table of contents. Cushing manuscript #16.,n,dm
