bib,title,note_num,note_text,original_type,reviewer_1_id,reviewer_1_review,reviewer_1_type,reviewer_1_rationale
17516867,"The ""last best west"" Canada west : homes for millions.",1,From collection: Canada Pamphlets,w,zid,n,,
17516868,"Canada west : ""last best west' homes for millions.",1,From collection: Canada Pamphlets,w,zid,n,,
17516869,Engleski : sta vi treba da znate na poljskom imanju.,1,From collection: Canada Pamphlets,w,zid,n,,
17516870,Eastern Canada : Canada the new homeland [1928].,1,From collection: Canada Pamphlets,w,zid,n,,
17516871,Eastern Canada : Canada the new homeland [1924].,1,From collection: Canada Pamphlets,w,zid,n,,
17516872,Home life of women in western Canada.,1,From collection: Canada Pamphlets,w,zid,n,,
17516873,Helping settlers to start in Canada.,1,From collection: Canada Pamphlets,w,zid,n,,
17516874,Farming and ranching in the Canadian north-west.,1,From collection: Canada Pamphlets,w,zid,n,,
17516877,Surgeon's diary of John Hanchett on the ship Henry.,1,Includes a transcript of the diary.,w,zid,n,,
17516915,"Log of the Euterpe. Volume 5, 1891-1892.",2,This log is a continuation of A0245.1.05.,w,zid,n,,
17516920,"Log of the Euterpe. Volume 11, 1898-1899.",2,This log is a continuation of A0245.1.10.,w,zid,n,,
17516921,"Log of the Euterpe. Volume 12, 1899-1900.",2,This log is a continuation of A0245.1.11.,w,zid,n,,
17516923,"Log of the Euterpe. Volume 14, 1902-1904.",2,"This log contains corresponding information to A0245.1.13. This entire log features extremely obscure handwritten entries with numerous misspellings, making it very hard to read.",ow,zid,n,,
17516932,Certificate of incorporation : congregation of the people of Grodna.,2,Source - Robert Schuman.,w,zid,n,,
17516964,Sign bearing shoe shop notice.,1,Source - Sam Goldstein.,w,zid,n,,
17516965,Children's shoes advertising sign.,2,Source - Sam Goldstein.,w,zid,n,,
17516966,"""Closed to-day, will re-open to-morrow"" sign.",1,Source - Sam Goldstein.,w,zid,n,,
17516967,"""Hard to fit"" shoe store sign.",1,Source - Sam Goldstein.,w,zid,n,,
17516968,"""Every day is bargain day here!"" store sign.",1,Source - Sam Goldstein.,w,zid,n,,
17516969,"""New styles inside"" store sign.",1,Source - Sam Goldstein.,w,zid,n,,
17516970,"""Sorry! Due to limited space we cannot display our many new styles"" store sign.",1,Source - Sam Goldstein.,w,zid,n,,
17516971,"""We will be closed for the holidays"" store sign.",1,Source - Sam Goldstein.,w,zid,n,,
