bib_id,title,note_num,note,type,source
3495862,Maqāmāt / Abū Muḥammad al-Qāsim ibn ʻAlī ibn Muḥammad al-Ḥarīrī. -- [ca. 12--].,1,"Large, fully-vocalized naskhī. Some pages supplied in a recent hand.",,will
3495862,Maqāmāt / Abū Muḥammad al-Qāsim ibn ʻAlī ibn Muḥammad al-Ḥarīrī. -- [ca. 12--].,2,Some marginalia.,,will
3495870,al-Kawākib al-darārī fī sharḥ al-Bukhārī : al-mujallad al-rābiʻ. -- 1421-1528.,1,"Islamic binding, in brown, flap missing.",,will
3495876,[Taʻbīr nāmah : vol. 2]. -- [ca. 14--].,1,Large naskhī.,,will
3495881,Nafāʾis al-maṭālib al-ʻalīyah / Ḥusayn al-Khalkhālī. -- 1733.,1,Also known as: Ithbāt al-wājib.,,will
3495881,Nafāʾis al-maṭālib al-ʻalīyah / Ḥusayn al-Khalkhālī. -- 1733.,2,Marginalia at beginning and end.,,will
3495881,Nafāʾis al-maṭālib al-ʻalīyah / Ḥusayn al-Khalkhālī. -- 1733.,3,With: 15 other titles.,,will
3495881,Nafāʾis al-maṭālib al-ʻalīyah / Ḥusayn al-Khalkhālī. -- 1733.,4,No. 1 of 16 items bound together.,,will
3495887,Risālah fī taḥqīq maqāl al-qāʼilīn bil-ḥāl min aṣḥābinā wa-aṣḥāb al-iʻtizāl. -- [ca. 17--].,1,Small Turkish naskhī.,,will
3495887,Risālah fī taḥqīq maqāl al-qāʼilīn bil-ḥāl min aṣḥābinā wa-aṣḥāb al-iʻtizāl. -- [ca. 17--].,2,With: 15 other titles.,,will
3495887,Risālah fī taḥqīq maqāl al-qāʼilīn bil-ḥāl min aṣḥābinā wa-aṣḥāb al-iʻtizāl. -- [ca. 17--].,3,No. 2 of 16 items bound together.,,will
3495894,Madḥ al-saʻy wa-dhamm al-baṭālah. -- [ca. 17--].,1,Occasional marginalia.,,will
3495894,Madḥ al-saʻy wa-dhamm al-baṭālah. -- [ca. 17--].,2,Small Turkish naskhī.,,will
