bib_id,title,note_num,note,type,source
13193565,"[Praises of Saint Mary, Blessed Virgin, and gate of light].",1,"Manuscript in red and black, one column, 14 lines per page. F.1rv and f.58rv appear to be leaves (a bifolium?) discarded from another manuscript, covered with pen trials.",,zoe
13193565,"[Praises of Saint Mary, Blessed Virgin, and gate of light].",2,"Wooden boards, four chain stitches; one column; 14 lines per page.",,zoe
13193565,"[Praises of Saint Mary, Blessed Virgin, and gate of light].",3,F. 57r: Prayer by one Gabra Selassie to Mary to “keep me in body and soul.” A secondary hand adds the name Gabra Maryam.,,zoe
13193592,"[Prayer of Our Lady Mary at Golgotha, mystagogia, sword of divinity, and bandlet of righteousness].",1,"In red and black, bound in leather between wooden boards, one column, 13-14 lines per page. Flyleaves contain images of Mary, Jesus, and Michael. Some decorative headpieces. Some marginalia.",,zoe
13193592,"[Prayer of Our Lady Mary at Golgotha, mystagogia, sword of divinity, and bandlet of righteousness].",2,"F. 1r: Note: Edited by ግዛቸው ወልዴ ነው, written in an untrained hand; F. 4r mentions the owner, ወልደ ሚካኤል; Blank: ii v, iii rv. 53v.",,zoe
13193592,"[Prayer of Our Lady Mary at Golgotha, mystagogia, sword of divinity, and bandlet of righteousness].",3,"Illuminations: F. 1v: Madonna and Child, flanked by the angels Gabriel and Michael; F. 2r: Angel with drawn sword and scabbard.",,zoe
13193823,[Computus of Demetrius of Alexandria].,1,"In red and black ink, 3 columns, 24 to 29 lines per page. Flyleaves are sown together. Detailed decorative headpieces throughout. Some sections intentionally blotted out (e.g. f. 10). Some marginalia. Some tears and holes sewn back together. F. 48ff. contain numerical, calendrical, and astronomical charts.",,zoe
13193832,[Bandlet of righteousness].,1,"Manuscript in black and red ink. First page contains a decorative cross. Substantial damage to some pages. A description of the object is given: ""The little scroll belongs to the common literature of Lefafa sedq (bandlet of truth), principally used for burial with the deceased. That is, prayers of Mary, here the part called the Mashafa heywat (book of life). It is represented by innumerable copies in libraries and elsewhere.""",,zoe
13193842,[Funeral ritual].,1,"In black and red ink, bound between wooden covers with four chain stitches, two columns, 18-20 lines per page.",,zoe
13193842,[Funeral ritual].,2,"Some decorative headpieces. Some graffiti in flyleaves. Handwritten note (20th century) between f. 3 and f. 4: ""apparently liturgy (prayers [selot], lessons from the gospels, etc.)"". The Beinecke's cover for the book reads ""Lectionary,"" which conflicts with the internal note's claims concerning the text.",,zoe
13193842,[Funeral ritual].,3,"F. 120v: Note of ownership: the name of the owner has been erased. After a set of lines creating a unit division is a list of names of family members and also of the scribe, ዜና ገብርኤል እልፍዮስ.",,zoe
13193845,"[Psalter, followed by canticles, Song of Songs, praises of Mary, and gate of light].",1,"Half bound with leather between wooden boards, the front board being broken and stitched; four chain stitches. One column (ff. 1r-148r), two columns (ff. 149r-167v). In red and black ink.",,zoe
13193845,"[Psalter, followed by canticles, Song of Songs, praises of Mary, and gate of light].",2,"Flyleaf contains depiction of royal figure with a harp (David?) and other figures. Some decorative headpieces, including images of houses and pyramids(?). f. 43 contains a depiction of St. George and the Dragon. Some holes and tears sewn back together. Final section of book contains a narrative including Mary. f. 148 contains a depiction of a woman (Mary?) carrying a cross, a man carrying two vessels, and two ghostly figures floating above.",,zoe
13193845,"[Psalter, followed by canticles, Song of Songs, praises of Mary, and gate of light].",3,"Illuminations: F. ii v: David playing his harp (the scene is depicted with David’s body in profile, though his face shows both eyes), before him (right) are three people; One (at the bottom) lies prostrate and holds shield and rifle; A second stands before David with a Psalter in hand; Above, a third holds a sword over his shoulder; A crude hand has written, “This Psalter belongs to ቄስ መሬ;” F. 43v: Saint George and the Dragon, caption: ቅዱስ ጊዮር[ጊ]ስ; F. 148v: Saint Mary, (right) holding hand cross, before Saint Ephrem(?) (left) also holding objects in his hands, above two angels hover over Mary.",,zoe
13193845,"[Psalter, followed by canticles, Song of Songs, praises of Mary, and gate of light].",4,"F. ii: stamp of the Yale University Library; F. 162r mentions the scribe (ጸሐፊሁ), ኃይለ [the second name is erased]; Inside back cover: owner plate of the Yale University Library: Gift of Thomas Ewart Marston; Blank: Ff. irv, 168rv, 169v; F. 167v: record: Scribal note of completion: “the end of the Dawit on Tahsas 11 in the peace of God.”",,zoe
13194240,"[Psalter, calendar, biblical canticles, Song of Songs, praises of Mary, and gate of light].",1,"In black and red ink. Half bound with leather, between wooden boards, the front one of which is broken and stitched. Four chain stitches, one column (ff. 5r-155r), two columns (ff. 155v-169v). Substantial marginalia. Some later editorial decorations added in a crayon-like substance. Some lacunae have been patched and rewritten. Some holes and tears have been sewn back together.",,zoe
13194240,"[Psalter, calendar, biblical canticles, Song of Songs, praises of Mary, and gate of light].",2,"F. 1r: text: pen trial; F. 1v: text: Calendar, in an 18th century hand; F. 2r–3v, upper: text, in a 19th century hand; F. 3v, lower and 4r, lower: text, in a 20th century hand; F. 4v: text: calendar; F. 151r, bottom margin: note of secondary ownership, ገብረ ጊዎርጊስ, written in a later hand.",,zoe
13194310,"[Canticle of the flower, lamentations of the Virgin, image of Mary, and image of the Trinity].",1,"In red and black ink. One column, 13-14 lines per page.",,zoe
13194310,"[Canticle of the flower, lamentations of the Virgin, image of Mary, and image of the Trinity].",2,"The flyleaf contains a depiction of four figures (perhaps including Mary and Jesus?). Some crayon-like headpieces in purple, orange, and green. f. 44 contains later Ethiopic additions written in pen. Minimal marginalia. The final flyleaves contain graffiti crosses and pencil writing.",,zoe
