path,format,num_count,note_num_count,status
by_format\README.md,,0,0,
by_format\CSV\all_unclassified.csv,CSV,0,1,CSV-header-note_num
by_format\CSV\daniel_unclassified.csv,CSV,0,1,CSV-header-note_num
by_format\CSV\martin_unclassified.csv,CSV,0,1,CSV-header-note_num
by_format\CSV\tim_unclassified.csv,CSV,0,1,CSV-header-note_num
by_format\CSV\will_unclassified.csv,CSV,0,1,CSV-header-note_num
by_format\CSV\zoe_unclassified.csv,CSV,0,1,CSV-header-note_num
by_format\JSON\all_unclassified.json,JSON,0,35926,JSON-keys-note_num
by_format\JSON\daniel_unclassified.json,JSON,0,7983,JSON-keys-note_num
by_format\JSON\martin_unclassified.json,JSON,0,15115,JSON-keys-note_num
by_format\JSON\tim_unclassified.json,JSON,0,11774,JSON-keys-note_num
by_format\JSON\will_unclassified.json,JSON,0,900,JSON-keys-note_num
by_format\JSON\zoe_unclassified.json,JSON,0,154,JSON-keys-note_num
by_format\XML\all_unclassified.xml,XML,0,35926,XML-notes-have-note_num
by_format\XML\daniel_unclassified.xml,XML,0,7983,XML-notes-have-note_num
by_format\XML\martin_unclassified.xml,XML,0,15115,XML-notes-have-note_num
by_format\XML\tim_unclassified.xml,XML,0,11774,XML-notes-have-note_num
by_format\XML\will_unclassified.xml,XML,0,900,XML-notes-have-note_num
by_format\XML\zoe_unclassified.xml,XML,0,154,XML-notes-have-note_num
reports\num_note_num_audit.csv,CSV,0,0,CSV-no-num-or-note_num
