bib_id,title,note_num,note,type,source
17517372,"Emigration (and Coolie immigration), 1894. Volume 2.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence,,daniel
17517372,"Emigration (and Coolie immigration), 1894. Volume 2.",2,Title from publisher's website.,,daniel
17517373,"Emigration (and Coolie immigration), 1895 and January to March 1896. Volume 1.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence,,daniel
17517373,"Emigration (and Coolie immigration), 1895 and January to March 1896. Volume 1.",2,Title from publisher's website.,,daniel
17517374,"Emigration (and Coolie immigration) 1895 and January to March 1896. Volume 2, Correspondence, Secretary of State, despatches, Trinidad, offices and companies.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence,,daniel
17517374,"Emigration (and Coolie immigration) 1895 and January to March 1896. Volume 2, Correspondence, Secretary of State, despatches, Trinidad, offices and companies.",2,Title from publisher's website.,,daniel
17517375,"Emigration (and Coolie immigration), 1895 and January to March 1896. Volume 3, Agents, individuals and surgeons.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence,,daniel
17517375,"Emigration (and Coolie immigration), 1895 and January to March 1896. Volume 3, Agents, individuals and surgeons.",2,Title from publisher's website.,,daniel
17517376,"Australian and General Emigration Company : registered between 1844 and 1856, and either dissolved before 1856 or re-registered by 1860.",1,From collection: Board of Trade: Companies Registration Office: Files of Joint Stock Companies Registered Under the 1844 and 1856 Acts,,daniel
17517376,"Australian and General Emigration Company : registered between 1844 and 1856, and either dissolved before 1856 or re-registered by 1860.",2,Title from publisher's website.,,daniel
17517377,"War Cabinet : G.T. papers. Nos. 6801-6900, volume LXIX.",1,"From collection: War Cabinet and Cabinet: Memoranda (GT,CP and G War Series)",,daniel
17517377,"War Cabinet : G.T. papers. Nos. 6801-6900, volume LXIX.",2,Title from publisher's website.,,daniel
17517378,"Cabinet : C.P. papers. Nos. 1301-1400, volume XIV.",1,"From collection: War Cabinet and Cabinet: Memoranda (GT,CP and G War Series)",,daniel
17517378,"Cabinet : C.P. papers. Nos. 1301-1400, volume XIV.",2,Title from publisher's website.,,daniel
17517379,Journal of the Lord Raglan convict ship.,1,"From collection: Admiralty Transport Department, Surgeon Superintendents' Journals of Convict Ships",,daniel
17517379,Journal of the Lord Raglan convict ship.,2,Title from publisher's website.,,daniel
17517380,Journal of the Lincelles convict ship.,1,"From collection: Admiralty Transport Department, Surgeon Superintendents' Journals of Convict Ships",,daniel
17517380,Journal of the Lincelles convict ship.,2,Title from publisher's website.,,daniel
17517381,"Journal of the Norwood convict ship, 4 Feb-14 Jun 1862.",1,"From collection: Admiralty Transport Department, Surgeon Superintendents' Journals of Convict Ships",,daniel
17517381,"Journal of the Norwood convict ship, 4 Feb-14 Jun 1862.",2,Title from publisher's website.,,daniel
17517382,Journal of the Ironside convict ship.,1,"From collection: Admiralty Transport Department, Surgeon Superintendents' Journals of Convict Ships",,daniel
17517382,Journal of the Ironside convict ship.,2,Title from publisher's website.,,daniel
17517383,"Journal of the Merchantman convict ship, 10 Oct 1862 - 24 Feb 1863.",1,"From collection: Admiralty Transport Department, Surgeon Superintendents' Journals of Convict Ships",,daniel
17517383,"Journal of the Merchantman convict ship, 10 Oct 1862 - 24 Feb 1863.",2,Title from publisher's website.,,daniel
17517384,Journal of the convict ship Clyde.,1,"From collection: Admiralty Transport Department, Surgeon Superintendents' Journals of Convict Ships",,daniel
17517384,Journal of the convict ship Clyde.,2,Title from publisher's website.,,daniel
17517385,Journal of the Clara convict ship.,1,"From collection: Admiralty Transport Department, Surgeon Superintendents' Journals of Convict Ships",,daniel
17517385,Journal of the Clara convict ship.,2,Title from publisher's website.,,daniel
17517386,"Journal of the Merchantman convict ship, 11 Jun-30 Sep 1864.",1,"From collection: Admiralty Transport Department, Surgeon Superintendents' Journals of Convict Ships",,daniel
17517386,"Journal of the Merchantman convict ship, 11 Jun-30 Sep 1864.",2,Title from publisher's website.,,daniel
17517387,Journal of the Racehorse convict ship.,1,"From collection: Admiralty Transport Department, Surgeon Superintendents' Journals of Convict Ships",,daniel
17517387,Journal of the Racehorse convict ship.,2,Title from publisher's website.,,daniel
17517388,Journal of the Vimeira convict ship.,1,"From collection: Admiralty Transport Department, Surgeon Superintendents' Journals of Convict Ships",,daniel
17517388,Journal of the Vimeira convict ship.,2,Title from publisher's website.,,daniel
17517389,Journal of the Corona convict ship.,1,"From collection: Admiralty Transport Department, Surgeon Superintendents' Journals of Convict Ships",,daniel
17517389,Journal of the Corona convict ship.,2,Title from publisher's website.,,daniel
17517390,"Journal of the Norwood convict ship, 11 Mar-29 Jul 1867.",1,"From collection: Admiralty Transport Department, Surgeon Superintendents' Journals of Convict Ships",,daniel
